insertion (cmp);insertion (swp);merge (cmp);merge (swp);quick (cmp);quick (swp);dual pivot (cmp);dual pivot (swp);hybrid (cmp);hybrid (swp);n;insertion (cmp/n);merge (cmp/n);quick (cmp/n);dual pivot (cmp/n);hybrid (cmp/n);insertion (swp/n);merge (swp/n);quick (swp/n);dual pivot (swp/n);hybrid (swp/n)
0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
3;2;7;4;3;2;1;4;2;1;2;1,5;3,5;1,5;0,5;0,5;1;2;1;2;0,5
6;4;16;10;10;4;1;4;5;3;3;2;5,333333333;3,333333333;0,333333333;1;1,333333333;3,333333333;1,333333333;1,333333333;1
15;9;27;16;12;4;3;6;4;3;4;3,75;6,75;3;0,75;0,75;2,25;4;1;1,5;0,75
14;9;42;24;32;8;9;14;11;7;5;2,8;8,4;6,4;1,8;1,4;1,8;4,8;1,6;2,8;1,4
23;14;57;32;29;10;15;16;12;8;6;3,833333333;9,5;4,833333333;2,5;1,333333333;2,333333333;5,333333333;1,666666667;2,666666667;1,333333333
32;19;72;40;32;16;11;14;15;10;7;4,571428571;10,28571429;4,571428571;1,571428571;1,428571429;2,714285714;5,714285714;2,285714286;2;1,428571429
53;30;85;48;51;24;13;24;20;13;8;6,625;10,625;6,375;1,625;1,625;3,75;6;3;3;1,625
48;28;102;58;49;16;19;24;37;19;9;5,333333333;11,33333333;5,444444444;2,111111111;2,111111111;3,111111111;6,444444444;1,777777778;2,666666667;2,111111111
51;30;123;68;59;18;12;24;43;16;10;5,1;12,3;5,9;1,2;1,6;3;6,8;1,8;2,4;1,6
78;44;138;78;91;38;16;32;69;21;11;7,090909091;12,54545455;8,272727273;1,454545455;1,909090909;4;7,090909091;3,454545455;2,909090909;1,909090909
69;40;163;88;99;30;33;30;78;22;12;5,75;13,58333333;8,25;2,75;1,833333333;3,333333333;7,333333333;2,5;2,5;1,833333333
72;42;178;98;107;34;34;36;106;41;13;5,538461538;13,69230769;8,230769231;2,615384615;3,153846154;3,230769231;7,538461538;2,615384615;2,769230769;3,153846154
141;77;197;108;105;40;35;50;103;32;14;10,07142857;14,07142857;7,5;2,5;2,285714286;5,5;7,714285714;2,857142857;3,571428571;2,285714286
138;76;212;118;142;42;35;46;142;26;15;9,2;14,13333333;9,466666667;2,333333333;1,733333333;5,066666667;7,866666667;2,8;3,066666667;1,733333333
151;83;235;128;135;44;39;44;96;47;16;9,4375;14,6875;8,4375;2,4375;2,9375;5,1875;8;2,75;2,75;2,9375
184;100;260;140;136;48;46;66;71;37;17;10,82352941;15,29411765;8;2,705882353;2,176470588;5,882352941;8,235294118;2,823529412;3,882352941;2,176470588
151;84;277;152;139;54;34;56;160;51;18;8,388888889;15,38888889;7,722222222;1,888888889;2,833333333;4,666666667;8,444444444;3;3,111111111;2,833333333
168;93;304;164;152;62;61;64;116;58;19;8,842105263;16;8;3,210526316;3,052631579;4,894736842;8,631578947;3,263157895;3,368421053;3,052631579
213;116;325;176;173;54;39;68;116;52;20;10,65;16,25;8,65;1,95;2,6;5,8;8,8;2,7;3,4;2,6
274;147;346;188;242;72;67;88;282;56;21;13,04761905;16,47619048;11,52380952;3,19047619;2,666666667;7;8,952380952;3,428571429;4,19047619;2,666666667
