insertion (cmp);insertion (swp);merge (cmp);merge (swp);quick (cmp);quick (swp);dual pivot (cmp);dual pivot (swp);hybrid (cmp);hybrid (swp);n;insertion (cmp/n);merge (cmp/n);quick (cmp/n);dual pivot (cmp/n);hybrid (cmp/n);insertion (swp/n);merge (swp/n);quick (swp/n);dual pivot (swp/n);hybrid (swp/n);wpolczynnik QS;wspolczynnik DP QS
0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;
1;1;7;4;3;2;1;4;2;1;2;0,5;3,5;1,5;0,5;0,5;0,5;2;1;2;0,5;1,442695041;2,885390082
4;3;17;10;8;3;2;5;4;2;3;1,333333333;5,666666667;2,666666667;0,666666667;0,666666667;1;3,333333333;1;1,666666667;0,666666667;0,910239227;1,517065378
8;5;28;16;14;5;3;8;7;4;4;2;7;3,5;0,75;1;1,25;4;1,25;2;1;0,901684401;1,442695041
13;8;42;24;21;7;6;11;9;6;5;2,6;8,4;4,2;1,2;1,2;1,6;4,8;1,4;2,2;1,2;0,869868908;1,366936856
18;11;56;32;31;10;7;15;12;8;6;3;9,333333333;5,166666667;1,166666667;1,333333333;1,833333333;5,333333333;1,666666667;2,5;1,333333333;0,930184378;1,395276566
24;15;71;40;37;13;9;17;15;10;7;3,428571429;10,14285714;5,285714286;1,285714286;1,428571429;2,142857143;5,714285714;1,857142857;2,428571429;1,428571429;0,954382636;1,248038831
33;20;86;48;49;15;12;21;17;11;8;4,125;10,75;6,125;1,5;1,375;2,5;6;1,875;2,625;1,375;0,901684401;1,262358161
42;25;104;58;57;19;15;25;37;16;9;4,666666667;11,55555556;6,333333333;1,666666667;1,777777778;2,777777778;6,444444444;2,111111111;2,777777778;1,777777778;0,960808073;1,264221148
54;31;122;68;70;22;17;28;47;19;10;5,4;12,2;7;1,7;1,9;3,1;6,8;2,2;2,8;1,9;0,95544786;1,216024549
62;36;141;78;79;27;20;31;54;22;11;5,636363636;12,81818182;7,181818182;1,818181818;2;3,272727273;7,090909091;2,454545455;2,818181818;2;1,023624961;1,175273103
71;41;158;88;87;30;24;36;62;26;12;5,916666667;13,16666667;7,25;2;2,166666667;3,416666667;7,333333333;2,5;3;2,166666667;1,006074011;1,207288813
87;49;178;98;101;34;26;39;73;29;13;6,692307692;13,69230769;7,769230769;2;2,230769231;3,769230769;7,538461538;2,615384615;3;2,230769231;1,019663257;1,169613736
98;55;196;108;114;37;30;43;83;33;14;7;14;8,142857143;2,142857143;2,357142857;3,928571429;7,714285714;2,642857143;3,071428571;2,357142857;1,001439837;1,163835487
110;62;215;118;126;42;32;47;93;35;15;7,333333333;14,33333333;8,4;2,133333333;2,333333333;4,133333333;7,866666667;2,8;3,133333333;2,333333333;1,033954245;1,157044036
130;72;234;128;141;44;35;50;105;40;16;8,125;14,625;8,8125;2,1875;2,5;4,5;8;2,75;3,125;2,5;0,991852841;1,127105501
150;83;256;140;151;49;41;57;115;46;17;8,823529412;15,05882353;8,882352941;2,411764706;2,705882353;4,882352941;8,235294118;2,882352941;3,352941176;2,705882353;1,017344122;1,183441121
166;91;278;152;169;56;43;61;120;48;18;9,222222222;15,44444444;9,388888889;2,388888889;2,666666667;5,055555556;8,444444444;3,111111111;3,388888889;2,666666667;1,076370575;1,172475091
185;101;299;164;178;58;48;63;135;52;19;9,736842105;15,73684211;9,368421053;2,526315789;2,736842105;5,315789474;8,631578947;3,052631579;3,315789474;2,736842105;1,036744725;1,12611927
207;113;322;176;195;64;48;67;153;58;20;10,35;16,1;9,75;2,4;2,9;5,65;8,8;3,2;3,35;2,9;1,068186242;1,118257472
226;123;343;188;206;67;52;73;161;62;21;10,76190476;16,33333333;9,80952381;2,476190476;2,952380952;5,857142857;8,952380952;3,19047619;3,476190476;2,952380952;1,047939786;1,141785139
250;135;367;200;227;75;59;77;172;65;22;11,36363636;16,68181818;10,31818182;2,681818182;2,954545455;6,136363636;9,090909091;3,409090909;3,5;2,954545455;1,10289359;1,132304086
266;144;389;212;236;78;60;81;184;71;23;11,56521739;16,91304348;10,26086957;2,608695652;3,086956522;6,260869565;9,217391304;3,391304348;3,52173913;3,086956522;1,081585267;1,1231847
298;160;411;224;251;83;63;86;197;77;24;12,41666667;17,125;10,45833333;2,625;3,208333333;6,666666667;9,333333333;3,458333333;3,583333333;3,208333333;1,088192182;1,12752443
315;169;433;236;268;89;68;92;216;82;25;12,6;17,32;10,72;2,72;3,28;6,76;9,44;3,56;3,68;3,28;1,105976184;1,14325628
335;180;456;248;280;94;73;95;225;85;26;12,88461538;17,53846154;10,76923077;2,807692308;3,269230769;6,923076923;9,538461538;3,615384615;3,653846154;3,269230769;1,109661599;1,12146651
377;201;479;260;296;103;75;102;230;93;27;13,96296296;17,74074074;10,96296296;2,777777778;3,444444444;7,444444444;9,62962963;3,814814815;3,777777778;3,444444444;1,157464696;1,146227174
403;215;502;272;315;103;83;106;247;94;28;14,39285714;17,92857143;11,25;2,964285714;3,357142857;7,678571429;9,714285714;3,678571429;3,785714286;3,357142857;1,103945276;1,136099022
424;226;525;284;326;110;85;110;268;100;29;14,62068966;18,10344828;11,24137931;2,931034483;3,448275862;7,793103448;9,793103448;3,793103448;3,793103448;3,448275862;1,126453879;1,126453879
465;247;548;296;343;114;90;117;288;105;30;15,5;18,26666667;11,43333333;3;3,5;8,233333333;9,866666667;3,8;3,9;3,5;1,117253594;1,146655005
486;258;570;308;362;121;96;121;298;114;31;15,67741935;18,38709677;11,67741935;3,096774194;3,677419355;8,322580645;9,935483871;3,903225806;3,903225806;3,677419355;1,136645414;1,136645414
516;273;593;320;368;122;93;122;306;114;32;16,125;18,53125;11,5;2,90625;3,5625;8,53125;10;3,8125;3,8125;3,5625;1,100054969;1,100054969
547;289;620;334;396;134;101;129;325;125;33;16,57575758;18,78787879;12;3,060606061;3,787878788;8,757575758;10,12121212;4,060606061;3,909090909;3,787878788;1,161331983;1,1179987
589;311;646;348;411;134;103;134;341;129;34;17,32352941;19;12,08823529;3,029411765;3,794117647;9,147058824;10,23529412;3,941176471;3,941176471;3,794117647;1,11763288;1,11763288
621;327;671;362;417;141;111;140;346;133;35;17,74285714;19,17142857;11,91428571;3,171428571;3,8;9,342857143;10,34285714;4,028571429;4;3,8;1,13310184;1,125065656
656;345;697;376;441;149;115;145;361;134;36;18,22222222;19,36111111;12,25;3,194444444;3,722222222;9,583333333;10,44444444;4,138888889;4,027777778;3,722222222;1,154978936;1,12397279
693;364;723;390;456;157;118;149;382;144;37;18,72972973;19,54054054;12,32432432;3,189189189;3,891891892;9,837837838;10,54054054;4,243243243;4,027027027;3,891891892;1,175114845;1,115236382
734;385;748;404;472;158;121;152;407;156;38;19,31578947;19,68421053;12,42105263;3,184210526;4,105263158;10,13157895;10,63157895;4,157894737;4;4,105263158;1,143036771;1,099630311
