insertion cmp;insertion swp;merge cmp;merge swp;quick cmp;quick swp;dual pivot cmp;dual pivot swp;hybrid cmp;hybrid swp;
0;0;0;0;0;0;0;0;0;0;
1;1;7;4;4;2;2;6;2;1;
6;4;18;10;8;4;1;4;5;3;
9;6;29;16;20;6;4;8;8;5;
18;11;44;24;21;6;8;12;11;7;
7;6;57;32;34;10;7;20;14;9;
16;11;72;40;31;12;8;18;19;12;
27;17;87;48;48;12;10;22;14;10;
44;26;108;58;80;24;13;30;36;16;
49;29;123;68;80;30;26;28;44;21;
66;38;146;78;74;26;36;24;66;18;
59;35;161;88;108;24;19;32;52;27;
62;37;176;98;107;26;30;42;91;30;
83;48;201;108;111;34;21;46;103;31;
170;92;218;118;123;34;34;52;104;41;
127;71;231;128;140;40;31;46;147;44;
152;84;252;140;171;58;38;70;107;62;
131;74;281;152;152;66;57;68;130;44;
202;110;306;164;156;70;43;64;132;46;
229;124;321;176;191;60;65;58;173;65;
320;170;346;188;197;66;45;80;147;66;
189;105;357;200;184;84;59;94;152;52;
192;107;384;212;217;82;51;82;163;59;
327;175;419;224;241;74;73;98;209;68;
278;151;426;236;224;100;84;96;224;123;
315;170;451;248;312;112;109;140;197;99;
384;205;478;260;347;116;54;88;250;69;
337;182;501;272;290;102;66;100;244;84;
432;230;518;284;307;110;104;104;296;85;
409;219;539;296;325;102;120;130;264;121;
496;263;576;308;338;150;100;112;272;117;
469;250;593;320;352;116;134;134;240;96;
504;268;630;334;349;112;107;140;247;111;
577;305;647;348;380;160;141;156;344;105;
702;368;676;362;397;176;117;148;294;123;
619;327;691;376;418;138;135;146;423;125;
702;369;710;390;434;172;147;166;402;123;
841;439;747;404;546;200;169;194;418;140;
774;406;760;418;516;136;143;184;384;148;
703;371;811;432;484;158;100;166;320;132;
814;427;822;446;649;172;116;174;386;145;
899;470;857;460;638;240;163;204;401;138;
968;505;880;474;561;166;186;168;495;129;
1035;539;907;488;534;176;155;184;579;153;
948;496;932;502;652;214;128;202;375;159;
1083;564;949;516;635;184;180;160;454;156;
1218;632;988;530;637;236;191;218;510;179;
1081;564;1011;544;711;284;160;208;485;176;
1270;659;1038;558;600;224;170;238;515;192;
1171;610;1063;572;586;174;185;218;545;187;
1158;604;1090;586;666;242;152;204;653;311;
1447;749;1115;600;944;324;161;210;637;192;
1342;697;1150;614;889;328;137;210;570;244;
1561;807;1169;628;695;270;147;242;816;240;
1354;704;1198;642;762;328;212;262;662;257;
1475;765;1225;656;769;232;186;240;717;217;
1742;899;1258;670;854;232;232;282;752;320;
1735;896;1277;684;826;256;207;266;860;357;
1428;743;1296;698;912;300;226;274;971;263;
1805;932;1311;712;909;376;189;254;785;330;
1888;974;1372;726;857;314;201;298;898;311;
1809;935;1399;740;1241;346;306;308;810;313;
2024;1043;1414;754;901;400;253;340;804;330;
1995;1029;1433;768;1116;406;238;270;895;356;
2246;1155;1472;784;790;274;342;298;779;267;
2397;1231;1503;800;1023;356;365;306;861;298;
2022;1044;1536;816;908;296;243;302;948;428;
2445;1256;1563;832;1085;416;240;298;901;383;
2410;1239;1584;848;1011;244;243;278;852;287;
2317;1193;1617;864;1141;420;341;352;863;360;
2716;1393;1656;880;984;348;249;300;990;412;
2405;1238;1685;896;1068;388;304;360;902;356;
2468;1270;1690;912;1317;430;325;384;1096;403;
2811;1442;1743;928;1258;438;252;342;930;348;
2638;1356;1786;944;1163;430;317;334;1030;376;
2665;1370;1811;960;1091;288;306;402;955;353;
3048;1562;1832;976;1384;436;298;338;1090;303;
3049;1563;1865;992;1660;500;241;378;896;349;
3162;1620;1874;1008;1112;426;306;392;980;422;
4011;2045;1921;1024;1087;384;295;386;986;379;
2784;1432;1944;1040;1369;502;351;402;1084;354;
3193;1637;1989;1056;1403;432;315;400;1172;346;
3236;1659;2024;1072;1139;404;315;374;1268;473;
3845;1964;2035;1088;1262;464;346;428;1229;498;
4038;2061;2068;1104;1374;482;339;412;1060;349;
3171;1628;2121;1120;1345;516;299;392;1324;451;
3436;1761;2140;1136;1228;468;309;410;1196;491;
3697;1892;2163;1152;1335;416;362;464;1084;403;
3624;1856;2198;1168;1448;574;289;446;1158;400;
4177;2133;2229;1184;1655;516;409;486;1085;431;
4302;2196;2232;1200;1388;510;380;502;1158;453;
4039;2065;2285;1216;1561;530;495;568;1331;544;
4500;2296;2308;1232;1565;640;389;492;1576;556;
4587;2340;2345;1248;1399;436;337;472;1478;579;
3872;1983;2364;1264;1712;566;465;494;1567;702;
4595;2345;2415;1280;1865;558;417;504;1354;449;
4774;2435;2424;1296;1535;486;396;450;1456;491;
4459;2278;2485;1312;1973;700;425;544;1564;499;
5204;2651;2494;1328;1762;728;429;506;1418;502;
