Time Linear;Time Manhattan;States Linear;States Manhattan;Moves Linear;Moves Manhattan
4408;38266;798387;7743171;51;51
2244;13209;412661;3237281;49;49
48;192;13141;62267;41;41
165;700;52290;200661;37;37
1044;1544;215860;414541;41;41
1109;1361;187595;400356;45;45
7885;25414;1834830;6319509;51;51
32;22;6044;5752;45;45
56;482;11903;121165;39;39
484;6858;97752;1634439;45;45
355;791;98072;210033;41;41
2839;8112;492839;2052113;49;49
25;58;6364;15618;35;35
4188;10896;879613;2940729;53;53
89;302;23692;113536;39;39
4425;26082;987266;6464935;49;49
630;3349;117913;823647;47;47
316;1662;97952;438576;41;41
86;1024;31361;288082;41;41
675;1337;200055;370125;49;49
2163;5600;477851;1548993;45;45
5;38;2140;19451;43;43
913;3671;207900;1038035;43;43
1732;5758;418810;1564167;43;43
1;1;639;790;35;35
89;402;29379;115844;41;41
125;629;24430;225903;43;43
2429;8595;447116;2084951;56;56
24;110;8494;49755;35;35
420;1956;111829;575497;45;45
10;21;4053;11769;41;41
7197;10165;1693648;2992154;53;53
283;543;14086;167698;37;37
77;287;25817;116757;41;41
15934;25732;3248297;5954349;55;55
32;120;11156;54676;37;37
196;552;52200;186900;41;41
1962;11645;378906;2973394;51;51
9;234;3514;98576;39;39
864;6860;206457;1872119;45;45
1760;6916;415632;1929133;49;49
772;1477;190077;451314;47;47
39;297;14765;48476;37;37
510;2730;124595;773493;43;43
75;501;16271;102515;39;39
919;7222;153812;1879375;53;53
7613;35427;1564811;7058606;49;49
5817;15365;839693;3224200;47;47
412;669;112882;174559;45;45
94;327;24224;99176;41;41
