VERTEXES;EDGES;MAX_WEIGHT;
1048576;4063200;1024;

SOURCE;TARGET;DIJKSTRA;DIALS;RADIX;RADIX_2;
951313;133183;1618076;938449;3291667;1507650;
934455;110950;199265;114549;453594;211227;
514213;756120;797346;440364;1969318;837155;
8609;47985;657666;365467;1631014;738451;
953635;376966;1018197;548152;2318768;1185464;
630970;174184;1182868;629079;2777740;1190049;
933555;853556;1643084;1075590;4134094;1843921;
650757;10960;1767035;1055861;4025374;1840685;
831007;42710;1193622;907312;2931536;1359392;
928139;910876;353377;194382;830204;452269;
134718;541006;93287;67339;226924;102288;
741304;93407;1167968;684002;2966431;1254728;
170508;578577;156279;92530;358963;198894;
373739;271383;1130843;601036;2727034;1179090;
726274;490127;1717574;1086685;4005462;1815367;
134487;808440;1156027;879686;2770541;1251529;
960214;1048550;101744;58733;239253;104215;
36638;589606;1145993;818615;2667126;1207334;
588500;634958;1844397;946185;3936179;1798882;
884014;792346;1506295;836022;3352396;1551297;
912982;798370;1400118;890900;3237884;1458726;
134753;742302;304892;163883;679763;403587;
191838;178856;1406886;810980;3305137;1446461;
808316;525179;814265;436782;2002777;892210;
795658;1030951;243163;134017;577120;264396;
246267;272932;1526541;927388;3755133;1702579;
519090;80008;28543;18970;66326;32500;
668519;219375;1656446;907936;3614506;1607809;
562878;865723;940980;739311;2328113;1060738;
948636;1044106;1296455;893388;3165635;1419697;
752322;110933;188367;105714;454155;184009;
890572;376485;723798;485161;1969235;827860;
760109;918584;952462;575117;2339825;1046366;
233514;474721;1562966;866788;3757526;1672391;
954357;262621;405605;222391;1017004;456169;
308492;328179;1303197;851864;3262584;1440205;
512197;500817;644000;435797;1707104;824252;
320781;831713;1593417;981704;3922890;1721969;
328420;548627;489903;273632;1222987;569777;
895207;388288;1346982;865109;3460196;1488490;
503211;713860;345711;187677;778769;404952;
412461;232896;946564;448767;1937959;893953;
318321;781656;743243;520722;1740751;795466;
338333;910653;1115458;595617;2693394;1149565;
37670;154705;1161554;709689;2754712;1227431;
530871;31916;1314919;982373;3163268;1468442;
415043;138966;1383427;954712;3306194;1522869;
399201;612981;780253;464934;2071443;945597;
195457;647273;918202;534938;2280463;974388;
519877;51945;860532;468487;2051754;922220;
95709;1032096;1422195;840515;3514640;1594123;
249666;775531;1854080;966510;4039955;1825389;
