VERTEXES;EDGES;MAX_WEIGHT;
131072;507872;131072;

SOURCE;DIJKSTRA;DIALS;RADIX;RADIX_2;
118915;289576;3147530;757637;280332;
16648;235070;3114270;758174;285130;
116807;223405;4420931;754133;276741;
13869;219820;4081232;756225;291854;
64277;222666;4390284;752987;281486;
94515;228155;3766069;797777;292632;
1077;205368;3878923;760560;284714;
5999;191264;4767010;759663;275047;
119205;210713;3082343;754851;282321;
47121;206518;3869996;769927;293094;
78872;220839;3099557;773897;296494;
21773;222737;3302669;764761;279347;
116695;248170;4981663;750903;280304;
106695;195314;4669138;762616;314688;
81345;236534;3805266;756492;282844;
1370;196195;5550405;775602;296529;
103876;218775;3777438;756243;275522;
5339;209150;5306784;785841;290023;
116018;215033;4108473;771123;286761;
113860;212106;4346402;996623;359699;
16840;260387;6912512;787788;324987;
67626;228499;4108950;822904;313549;
92663;228980;3120152;771134;321636;
11676;223678;3762097;789512;286941;
21314;201210;5344732;812816;294785;
72323;210982;4357929;769337;290043;
46718;201644;4428321;751757;277209;
33923;223623;3282950;750547;294306;
90785;217485;4043336;756383;297195;
61266;218078;4901403;782498;280524;
16811;220693;4452516;774152;289419;
101055;238860;3994401;835242;277048;
120027;227890;4050361;773835;277673;
131069;208698;4876588;767337;285764;
4580;215688;4651415;790148;279711;
73701;229029;3365106;779253;292589;
73563;229158;3099323;799377;298593;
79370;221483;4788753;767234;279364;
110502;217447;5661432;778814;296299;
99044;221073;5140602;759636;284318;
114123;211566;5753201;775677;287447;
99797;227484;3692921;776079;294298;
16845;207454;5260946;756184;292923;
92788;204966;4897830;760827;287044;
23980;219346;5012391;821544;290932;
22357;220664;4591729;795185;285821;
101040;232780;3466343;738883;305998;
65648;199726;5696901;778444;285083;
99458;233979;3629201;775896;290609;
128869;227348;4258824;787479;272908;
30784;214335;4035947;825508;294396;
34117;230517;3375511;820107;286701;
