VERTEXES;EDGES;MAX_WEIGHT;
65536;262144;65536;

SOURCE;TARGET;DIJKSTRA;DIALS;RADIX;RADIX_2;
59458;8324;274634;98033;436278;124814;
58404;6935;59217;39338;117604;51726;
32139;47258;15310;15499;33581;13766;
539;3000;177213;64296;354142;158976;
59603;23561;18176;18632;42754;18009;
39436;10887;103116;53787;167005;72884;
58348;53348;207548;72957;407200;157762;
40673;685;192399;75385;365550;140750;
51938;2670;54572;37710;112605;47296;
58009;56930;30381;32220;56991;25901;
8420;33813;152307;66993;307112;113575;
46332;5838;109825;60952;252948;141427;
10657;36162;190399;85936;551516;246436;
23359;16962;471914;235200;595464;301959;
45393;30633;34497;41691;64811;21489;
8406;50528;209759;216582;394555;139448;
60014;65535;216836;75933;383252;148948;
2290;36851;40514;28707;74755;31508;
36782;39685;150511;62058;278629;133935;
55251;49522;55716;36268;107324;47788;
57062;49899;53103;36704;96889;58625;
8423;46394;22989;40036;77652;26928;
11990;11179;229114;154382;340853;99723;
50520;32824;32773;23771;85203;34788;
49729;64435;208262;70018;413934;156841;
15392;17059;50709;33449;85438;39581;
32444;5001;231207;78915;415298;159933;
41783;13711;184784;73609;362291;150350;
35180;54108;93494;49444;183534;78302;
59290;65257;198448;69728;413767;292896;
47021;6934;164973;114945;305411;147099;
55661;23531;125290;122358;218595;100269;
47507;57412;25726;32007;53836;29868;
14595;29671;346129;140325;452953;219349;
59648;16414;335992;186459;440103;133442;
19281;20512;169012;66807;281052;112527;
32013;31302;233003;76052;463345;175198;
20049;51983;19150;17169;39858;15677;
20527;34290;152612;61168;326848;119877;
55951;24268;32878;21738;59095;25826;
31451;44617;184029;75628;354725;174986;
25779;14556;161635;202520;431442;137084;
19896;48854;230661;99964;413196;138875;
21146;56916;170288;74323;427576;177274;
2355;9670;133881;64586;212763;95334;
33180;1995;89375;45960;169707;69204;
25941;8686;130398;63871;398578;142069;
24951;38312;205645;80248;397975;264083;
12217;40455;236360;95397;373444;155420;
32493;3247;163800;83665;306277;121839;
5982;64506;202455;225218;349550;141888;
15605;48471;28140;23250;72205;28379;
