VERTEXES;EDGES;MAX_WEIGHT;
131072;524288;131072;

SOURCE;DIJKSTRA;DIALS;RADIX;RADIX_2;
118915;705680;214309;947501;379681;
16648;466688;182817;928029;349108;
116807;440511;182892;1122080;361691;
13869;456918;172801;934385;353251;
64277;463030;173824;914634;343185;
94515;533033;224349;909153;348208;
1077;475277;173681;905395;360971;
5999;444557;174225;999375;440030;
119205;479090;199308;977457;349935;
47121;464981;165461;926803;356750;
78872;507327;253610;951156;365008;
21773;434021;176761;889064;330523;
116695;467013;199931;883279;417168;
106695;524876;174642;917528;353628;
81345;465310;158338;868063;372124;
1370;438304;173383;1091383;361783;
103876;475988;182836;947920;368320;
5339;431531;177214;914359;349296;
116018;549581;196311;929734;354321;
113860;445047;178594;895843;330998;
16840;427509;179669;967854;419502;
67626;463843;180153;875532;331000;
92663;451285;178859;916420;333463;
11676;458516;227908;1039469;383968;
21314;433641;178828;1085116;352869;
72323;450883;179048;912707;474833;
46718;515835;232148;1016516;348729;
33923;473700;212373;909676;350835;
90785;452061;228224;1103111;355430;
61266;445070;174233;896558;336156;
16811;474446;197831;886718;449003;
101055;506403;178635;907996;340908;
120027;466513;178678;899888;351957;
131069;441952;179531;1019029;366963;
4580;495454;161219;934550;391922;
73701;456359;174630;893586;339844;
73563;583530;228569;892067;372867;
79370;449760;181892;878816;340132;
110502;455208;185618;933622;403961;
99044;478016;184850;975869;342457;
114123;447567;176361;875370;337504;
99797;458700;206091;1097661;330869;
16845;450913;173310;898694;350964;
92788;429092;167832;906877;388963;
23980;525320;184336;876673;352301;
22357;455084;176357;908636;349262;
101040;470948;172555;1065103;373788;
65648;477654;167273;965701;359471;
99458;446084;159656;907833;357770;
128869;567973;230087;889250;363328;
30784;457087;165824;901554;339756;
34117;447288;183901;962834;406100;
