VERTEXES;EDGES;MAX_WEIGHT;
1048576;4190208;4096;

SOURCE;TARGET;DIJKSTRA;DIALS;RADIX;RADIX_2;
951313;133183;118516;60590;242067;86240;
934455;110950;1457315;554187;2487836;1154635;
514213;756120;77566;35364;162994;76284;
8609;47985;2439068;774526;3934274;1736561;
953635;376966;2910107;968634;4876421;2189143;
630970;174184;469500;189987;1045152;466793;
933555;853556;2329192;788981;4265296;1875383;
650757;10960;786819;293669;1680350;679669;
831007;42710;948335;342619;1809523;913469;
928139;910876;1588897;557312;2932664;1309981;
134718;541006;2627166;1107615;4741767;2175011;
741304;93407;2139415;702841;3632747;1715253;
170508;578577;759294;269001;1515694;621446;
373739;271383;2249607;793488;4321709;1872081;
726274;490127;2201119;778925;3776167;1748163;
134487;808440;2612066;898161;4484915;2084367;
960214;1048550;22561;15787;53720;24693;
36638;589606;292738;123935;564491;289135;
588500;634958;1505194;511175;2543198;1289832;
884014;792346;937781;327645;1629285;750756;
912982;798370;2299335;739237;3874869;1715375;
134753;742302;2713649;923499;4736892;2130285;
191838;178856;940507;407058;1816363;797543;
808316;525179;895562;308832;1728484;770387;
795658;1030951;674593;239640;1204599;549130;
246267;272932;1889048;642837;3351340;1642892;
519090;80008;1816694;624414;3294690;1461928;
668519;219375;475802;173135;964288;504414;
562878;865723;365508;152555;738303;333444;
948636;1044106;2804158;1096154;5104867;2263950;
752322;110933;2339999;819725;4015970;1782459;
890572;376485;1261774;539013;2185489;1064621;
760109;918584;570360;205455;1179849;521628;
233514;474721;651666;251072;1208134;552969;
954357;262621;1831686;589317;2954927;1452553;
308492;328179;118417;56397;235360;100026;
512197;500817;543339;290308;1215030;601868;
320781;831713;3102964;851495;4204973;1903308;
328420;548627;1567834;599835;2808817;1313232;
895207;388288;1092431;475367;2089357;916940;
503211;713860;1856608;933733;3069692;1367857;
412461;232896;12909;11250;28318;14012;
318321;781656;1453601;584292;2606069;1145954;
338333;910653;993791;469741;1925229;863924;
37670;154705;2419734;816027;4140603;1933586;
530871;31916;1561838;525150;2398846;1021215;
415043;138966;704666;273585;1501187;605129;
399201;612981;224449;88608;413944;174791;
195457;647273;1089406;370427;2117769;881734;
519877;51945;2110309;787052;4034005;1833107;
95709;1032096;458301;160686;876117;431876;
249666;775531;148011;67590;308386;132944;
