VERTEXES;EDGES;MAX_WEIGHT;
32761;130320;32761;

SOURCE;DIJKSTRA;DIALS;RADIX;RADIX_2;
29723;98963;103153;299621;120812;
4162;116662;189460;401529;173284;
29196;162326;140191;450672;207210;
3467;118480;86439;226304;85040;
16066;77652;61013;205009;77606;
23624;73685;64607;197912;80244;
269;75974;66739;199613;74008;
1500;69714;66057;203243;75949;
29795;74141;71780;190763;80149;
11778;72240;51031;189160;86076;
19714;81767;69335;208645;72579;
5443;77350;56624;189799;82971;
29168;70509;74310;179336;74843;
26668;69303;50730;197504;75652;
20332;67108;55306;173765;83539;
343;72624;74303;182783;70966;
25964;68389;55982;180480;71235;
1335;76344;66519;206473;71845;
28999;70749;53696;180829;80014;
28459;72479;54403;191156;77521;
4210;71705;55389;195400;76933;
16903;70367;58786;189038;73769;
23161;58637;57536;177405;84657;
2919;76467;69227;182554;65279;
5328;65076;58555;174845;73104;
18077;68178;71115;183276;73334;
11677;62681;65068;186039;76392;
8479;70552;56514;177700;61153;
22692;64872;58427;176901;74752;
15314;63968;49783;202371;75353;
4202;67202;65657;192514;71049;
25259;68359;52769;201227;71931;
30001;79668;49130;186165;74918;
32761;62117;63927;177032;70175;
1145;68914;55369;214239;68578;
18422;65202;50737;180876;72912;
18387;64566;55310;188420;71981;
19839;70572;53645;194939;67630;
27620;63794;67587;187229;75799;
24756;66919;57198;199515;103418;
28525;83384;67210;184023;75902;
24944;67874;55563;182631;76177;
4211;74681;60656;180535;74183;
23192;76115;63563;176337;68593;
5994;65304;54782;190507;73853;
5589;71576;60028;171345;72252;
25255;68863;61954;177449;70391;
16409;68537;68651;180887;77481;
24859;71078;56554;175781;73026;
32211;76518;56807;166858;68654;
7695;66807;61161;194972;68833;
8528;65983;60224;183519;70935;
