VERTEXES;EDGES;MAX_WEIGHT;
1070376;2712798;214013;

SOURCE;DIJKSTRA;DIALS;RADIX;RADIX_2;
770532;3600776;795697;4328086;1725324;
971091;1985753;790812;3942436;1716235;
135952;1910617;769405;3885295;1689921;
953882;2019731;750643;3862493;1726696;
113256;1843693;790903;3802695;1686577;
524903;2060200;718812;3846776;1685766;
771840;1904952;763812;3831530;1703588;
8788;2004089;733067;3847912;1677537;
48983;2012639;769780;3786443;1725461;
973462;1952189;712449;3819087;1701469;
384803;1946232;743997;3847689;1698412;
644088;1839418;799652;3774388;1650764;
177806;1963824;725995;3839240;1694183;
952963;1974526;747843;3801587;1716516;
871301;1949373;710630;3851921;1721902;
664286;1973256;734609;3804509;1697491;
11187;2007519;708855;3804208;1737954;
848284;1962397;738948;3969461;1762257;
43598;1941966;736922;3945672;1722844;
947436;1996553;747710;3783588;1662065;
929813;1968219;753965;3829571;1761548;
137519;1951315;762082;3939309;1690012;
552254;2095837;711823;3830824;1702772;
756716;1807653;751372;3793329;1793695;
95348;1996362;785422;3873577;1702586;
174052;1867790;721248;3823607;1686028;
590605;1911720;793764;3846748;1656936;
381509;1969371;762261;4215820;2732826;
277025;2797773;1017736;4150945;1722050;
741373;1893480;801036;3971043;1695215;
500316;2042840;740719;4093073;1705609;
137283;1915758;756721;3773740;1671501;
825248;2018278;774951;3787009;1708332;
980177;1866763;756068;3799903;1698685;
1070349;1961601;738379;3777006;1671114;
37400;1842205;750880;3829012;1661901;
601864;1880936;803671;4378114;1719156;
600735;2056215;822525;4315780;1938720;
648159;2406018;885372;7235187;2724482;
902393;3135050;865925;4163632;1736828;
808819;1995562;801995;4557937;1735884;
931963;2000247;814663;3886280;1737434;
814968;1998677;741014;3980071;1736531;
137555;1969502;762152;3918155;1735968;
757735;1943932;894903;3985905;1686915;
195826;2052834;729481;3883539;1692936;
182574;1946091;785848;3835816;1666095;
825121;1942808;755652;3884519;1725466;
536098;2016511;718533;3917076;1655884;
812200;1988395;735668;3833557;1735999;
1052385;1876326;763145;3809940;1752953;
251387;1889534;784444;3881703;1686154;
