VERTEXES;EDGES;MAX_WEIGHT;
1207945;2840208;128569;

SOURCE;TARGET;DIJKSTRA;DIALS;RADIX;RADIX_2;
413385;976956;2446896;757636;2802142;1203116;
1144767;1116383;1300235;613876;2525473;1138627;
1057710;888315;1189604;646082;2495451;1073836;
393313;570346;1309167;573619;2604596;1114527;
1197804;911709;688352;278516;1589954;640420;
75017;1090741;2133215;779968;5445907;1857311;
1082188;205076;454205;184741;1047176;440046;
1062098;28834;1370060;545884;2786839;1228972;
383971;980018;1892454;732355;4241215;1726540;
810634;574105;271566;135619;706528;399347;
250670;327749;290237;146560;486009;187768;
557180;506687;1487613;550239;3194255;1298141;
274493;430231;469733;208058;1008931;443732;
872485;877860;31803;25621;83068;41390;
130059;813767;1801117;637328;3587832;1531389;
709262;1008642;419696;177082;917409;393437;
1078205;849424;2218330;792520;4572860;1919625;
705488;46640;2057060;760918;4176468;1838378;
665273;252678;1703888;599994;3189171;1397487;
636043;849120;513540;199722;1128129;474705;
900371;786777;634674;267224;1408578;613011;
1020940;885803;800289;338133;1814858;717871;
807771;647707;1622056;581902;3411467;1450973;
480780;146410;958395;405686;2112444;859388;
650285;1126663;632633;267229;1363752;620731;
67315;12564;1093219;454684;2320598;1157694;
560717;770715;980287;378460;1970889;923564;
873285;86507;2199211;807042;4491874;1913088;
128188;600628;1784821;628484;3422755;1520537;
1201041;49630;965550;450467;2111958;937456;
732526;1125692;1392395;562844;2974175;1268150;
136000;844524;545582;206028;1309939;499955;
342300;1049408;635103;281399;1360587;558098;
17383;1043619;587235;293604;1381922;558959;
206965;652550;2050416;753050;4265302;1836272;
1125473;988682;1791808;636148;3305746;1467986;
821044;467595;586371;219829;1365807;517490;
777314;36444;1754694;634409;3704437;1650164;
1188925;1051773;1594165;606719;3030303;1393721;
130156;919035;1664955;572986;2938192;1303172;
792381;12664;2336298;749294;4175232;1842737;
1071553;946097;1972693;672911;3596410;1606946;
1144584;34246;2187450;740122;4236291;1805758;
887849;786537;522275;214423;1196211;507941;
1085221;597423;2111437;858602;4537706;1954854;
754544;1119577;714284;285062;1609651;702815;
441263;892399;934063;345780;2046739;934632;
920767;259892;1911505;757041;4136447;1766274;
537335;226151;1134666;564060;2329029;1030592;
91039;523643;522801;274460;1312213;555668;
982385;485484;669890;258796;1419469;612379;
1020643;308303;2138307;739808;4110545;1796251;
