VERTEXES;EDGES;MAX_WEIGHT;
1207945;2840208;128569;

SOURCE;DIJKSTRA;DIALS;RADIX;RADIX_2;
869564;3778688;1196188;4508592;1976975;
1095900;2262315;903822;4510170;1955498;
153425;2304815;855668;4459835;1931259;
1076479;2213447;877534;4437196;1914384;
127812;2292319;864484;4501420;1937842;
592366;2234375;894008;4491743;1938377;
871040;2278664;896665;4441609;1886261;
9917;2251074;854329;4414781;1963573;
55278;2294515;870552;4387564;1874275;
1098575;2197867;839754;4414828;1914879;
434259;2315821;873384;4378085;1942563;
726869;2172430;844077;4541095;1997220;
200658;2349226;847988;4394601;1911053;
1075442;2322751;821786;4410873;1961852;
983284;2368635;860989;4377097;1933802;
749662;2181698;849999;4340371;1913719;
12625;2346219;876206;4401873;1899634;
957309;2311548;867150;4377755;1943758;
49201;2418609;879089;4422035;2235000;
1069204;2298436;848608;4407908;1906940;
1049316;2452671;898787;4420838;1939690;
155193;2229035;803823;4298178;1916181;
623231;2280596;829321;4657191;1966838;
853972;2231810;949209;4436958;1972203;
107603;2396425;842251;4402885;1953080;
196422;2841222;889020;4465855;1943860;
666512;2361924;983050;4421404;1976812;
430542;2210087;830112;4376233;1907180;
312629;2239520;899066;4376296;1901266;
836658;2172046;845935;4368733;1908283;
564619;2333525;850279;4417971;1902809;
154927;2218802;844937;4503429;1919983;
931312;2264283;854332;4368777;1904629;
1106153;2154300;864353;4390186;1908079;
1207915;2353485;822954;4303104;1914435;
42206;2170353;879818;4315689;1932855;
679218;2270975;863309;4342646;1916455;
677943;2211828;879035;4361974;1904735;
731463;2233447;861145;4329358;1908737;
1018372;2197367;879556;4382365;1901704;
912771;2260116;845373;4307828;1874615;
1051742;2161412;851897;4203780;1865866;
919711;2228304;828412;4576231;1942561;
155234;2825950;1184850;5521831;1987367;
855122;2351401;863469;4485582;1979587;
220995;2147960;864955;4331193;1908531;
206039;2340387;846580;4324312;1895607;
931168;2171200;840425;4274896;1864631;
604999;2310332;832518;4426250;1930159;
916587;2143080;850781;4349813;1893491;
1187641;2227741;843067;4367829;1922252;
283696;2150250;896654;4415431;1937319;
