VERTEXES;EDGES;MAX_WEIGHT;
264346;733846;92366;

SOURCE;TARGET;DIJKSTRA;DIALS;RADIX;RADIX_2;
185179;116162;573192;191037;1197397;446086;
64743;41090;133229;51623;286758;120611;
7483;12044;60553;33182;136245;60911;
30483;242871;155620;60439;352810;137577;
206910;164900;55790;27196;115345;58916;
110184;129885;204806;71216;403177;172836;
90513;263318;446261;170105;957731;438669;
174893;235278;333504;128307;674725;330167;
120511;186639;144503;69718;310573;141472;
6973;71987;340814;110873;677726;320418;
77883;215572;65641;31480;149585;70591;
84666;86680;5654;12463;14635;5797;
68324;42385;136002;59316;319120;214919;
61702;80098;91722;41830;175227;76968;
61207;60711;6824;11085;16688;7069;
146500;256563;255687;91574;526905;240224;
31554;167521;393841;135202;791210;357289;
145960;36554;309602;109703;618016;285504;
201808;107004;506769;174824;839790;384523;
261492;257043;44240;27133;101925;49493;
74117;204711;278125;127919;674325;252669;
180494;99197;413139;154252;824581;384699;
168753;65288;573746;165979;951649;437584;
88512;105758;359796;124390;724271;337701;
217030;176270;345245;109106;630170;304919;
146170;161916;94970;54279;194332;80474;
73146;261985;454045;154040;878670;395139;
242868;254030;62843;33301;143564;61447;
230360;221992;332886;112586;647181;308949;
92162;5556;345160;138315;743967;459593;
52436;215433;147047;58937;304987;126686;
78379;2587;478972;159841;949862;427029;
163902;145361;88348;33587;177250;74434;
255742;48347;252868;89213;502623;237789;
178418;123516;404013;174052;849446;393911;
67330;193736;407041;140536;851702;371725;
171434;15477;271505;104000;555173;248030;
168198;25811;194150;71616;391832;200270;
249163;245247;55393;45842;154733;59250;
142286;77407;479541;155646;937115;427226;
254009;242957;96719;41558;196308;91435;
106210;7805;103458;45581;205631;97326;
58964;247011;355612;130965;744367;340448;
211832;166757;27146;20214;90615;50166;
82329;229831;474036;168266;783706;337269;
217775;46458;77455;34789;170991;74923;
163464;212669;130111;56584;272486;119255;
160465;151052;156187;59343;329696;144579;
21899;207826;213854;77490;439978;204095;
126983;256880;396888;131763;994608;395382;
176221;93579;396943;137468;846731;366265;
206661;224878;314656;125144;683509;304506;
