VERTEXES;EDGES;MAX_WEIGHT;
321270;800172;235763;

SOURCE;TARGET;DIJKSTRA;DIALS;RADIX;RADIX_2;
156499;110932;62299;49300;207996;92805;
91102;183031;625020;495891;1473763;406265;
152624;31596;318146;179441;874982;317163;
285012;112770;488912;210199;1035573;464104;
48501;153383;418624;155673;893856;452375;
75504;174978;154210;81171;313505;132603;
154312;313287;146792;77574;350610;165964;
237524;77803;497582;206419;1074878;483946;
310413;80416;589823;231838;1238852;489247;
115547;40562;122302;78489;263342;119789;
147753;280078;133727;66383;279193;122311;
281015;41683;7525;16278;19239;9589;
252858;126746;416728;187225;949209;399982;
233820;118703;488756;282799;1078201;463566;
142179;287690;393248;175337;893541;383924;
126401;88679;398762;162974;823374;467094;
288582;174800;449373;181403;945660;424647;
315480;15570;271681;124909;607538;257203;
149272;233167;416028;167909;897746;417558;
146958;73477;318585;128540;677147;301427;
84893;203605;277663;140704;607408;280339;
284482;319220;292037;130948;641495;279316;
129890;20261;277180;126214;710089;268452;
242836;8453;199936;84146;439761;185181;
127821;197893;315350;142531;685557;312986;
253182;245049;14921;17188;37094;17222;
281713;132528;368737;158993;824960;364904;
28801;246863;77926;48703;166885;66263;
190367;67016;219476;96972;431517;196473;
288942;233062;302253;133029;646886;294767;
36517;28908;4276;14581;11621;5262;
298324;124627;297109;131071;635162;281727;
271515;138655;322481;123371;771087;377863;
313892;52734;148241;74379;318112;137971;
130986;289405;372249;159052;836740;365413;
229561;41199;229268;101554;508856;219530;
252371;6600;182860;89421;436452;188664;
130993;16484;326790;146004;646804;266111;
89054;92022;4561;22740;11524;4598;
243834;296700;305328;136267;662524;299719;
104484;133363;254307;106134;569239;245557;
221199;240489;51310;29280;113505;46344;
311918;276281;448939;168399;1026610;407403;
261609;195618;173906;87792;393369;159082;
172796;292926;467453;197583;1035812;436809;
321172;318782;16954;22998;39496;16650;
102838;51206;63166;47205;153123;69057;
252796;207312;49536;31854;105466;51999;
158700;238917;560394;245080;1115902;484769;
289760;57571;161814;88915;389917;169523;
73035;43353;17986;22627;39969;16808;
193619;268057;251121;110542;554813;253408;
