VERTEXES;EDGES;MAX_WEIGHT;
1070376;2712798;535032;

SOURCE;DIJKSTRA;DIALS;RADIX;RADIX_2;
770532;3919234;1156860;4392858;1889235;
971091;2185176;870643;4362046;1835507;
135952;2160621;873341;4320615;1852845;
953882;2203193;821968;4287121;1863001;
113256;2107115;849007;4227846;1808960;
524903;2183495;837701;4247325;1906130;
771840;2249726;814889;4249694;1866971;
8788;2201339;816665;4222650;1836289;
48983;2274554;854343;4228205;1868544;
973462;2207974;820268;4217852;1833571;
384803;2205571;844806;4246920;1890888;
644088;2082522;886797;4226750;1840457;
177806;2214995;805622;4187746;1847510;
952963;2181045;817942;4311076;1870289;
871301;2203106;808971;4221771;1860533;
664286;2196482;838187;4260816;1888383;
11187;2163829;803496;4659470;2287378;
848284;2914407;856122;4552149;1876014;
43598;2257029;809297;4281984;1914559;
947436;2187239;780133;5267429;2125563;
929813;1954979;745203;3280930;1405084;
137519;1577910;676271;3185193;1339670;
552254;1572309;632288;3057361;1354963;
756716;1478667;672823;3053538;1336219;
95348;1448954;687684;3071464;1291635;
174052;1533096;644632;3030132;1344544;
590605;1440272;687474;3009745;1321110;
381509;1549012;674536;3047374;1326654;
277025;1428593;669105;3030377;1333726;
741373;1472524;741865;3066041;1319503;
500316;1506972;659688;3020473;1333901;
137283;1506715;672800;3057355;1341156;
825248;1513019;651902;3035131;1332161;
980177;1495743;661357;3049046;1312316;
1070349;1505021;649235;3055311;1329166;
37400;1391135;721939;3041923;1321758;
601864;1435584;698630;3302920;1382532;
600735;1445979;709494;3099010;1320156;
648159;1443351;695716;3077819;1309199;
902393;1516072;682438;3062602;1359699;
808819;1482420;641588;3050312;1344868;
931963;1578127;657008;3024605;1397313;
814968;1492727;656743;3050573;1354661;
137555;1540823;658596;3034094;1344410;
757735;1436648;670157;3055404;1316387;
195826;1541496;664868;3090775;1338383;
182574;1439868;671169;3034835;1352101;
825121;1556028;654941;3067051;1374788;
536098;1547509;630134;3111648;1435035;
812200;1576139;658248;3134082;1401933;
1052385;1478106;679079;3136553;1362387;
251387;1470879;739552;3150953;1360499;
