VERTEXES;EDGES;MAX_WEIGHT;
1207945;2840208;265941;

SOURCE;TARGET;DIJKSTRA;DIALS;RADIX;RADIX_2;
747374;341383;3986587;882308;5099519;2033639;
565733;128358;1562915;636064;2924299;1301022;
760410;79744;2122271;773809;4267579;1825742;
145937;286308;1566571;644997;3073234;1373892;
674545;373916;1362319;733687;3099654;1244602;
5608;541154;745723;413626;1727870;679408;
994380;71311;1796209;706138;3994293;1663208;
983250;550792;1504453;613355;3010476;1300403;
936145;112103;1970690;709819;3710814;1618973;
561374;1014113;1561775;627468;3101282;1351199;
814599;237381;957851;519568;2170840;886246;
879119;1191361;346612;155365;790204;337543;
591367;771510;63775;93831;207432;74969;
114493;587927;1819306;670592;3840624;1589108;
28389;541209;1171755;509824;2531818;1087671;
416849;408781;665522;365958;1601378;609875;
1005375;639066;528620;267148;1211135;522238;
461068;1091300;1739330;621956;3253463;1625123;
1027368;198460;1678831;695376;3442072;1457196;
1094998;366541;115123;97643;286448;108914;
1149271;294276;2367294;896789;4530914;1928903;
190447;927889;1262294;691363;2676340;1178641;
950918;1030133;487463;251413;1273116;468202;
827381;1145135;1086966;464145;2205770;1131946;
1139335;158978;795634;376075;1700598;761849;
477693;991478;766753;336094;1449501;616226;
667606;694837;1257973;479579;2625020;1107224;
566798;203753;1532810;750663;3164279;1423416;
277402;1171396;901056;458746;2088793;890454;
338983;807158;1132048;508880;2587185;1051006;
291475;851453;2248943;861738;4201049;1868399;
1124194;69062;585446;284371;1450189;549077;
1019387;412915;770408;368417;1668595;746061;
135810;170088;1726047;566212;3233594;1406671;
368532;720377;1204774;478321;2605083;1051967;
865610;293348;1653324;638109;3644458;1497359;
389343;790297;750710;318894;1711091;681576;
250722;179637;78079;120097;198336;78711;
1073364;379536;113375;97766;285351;130166;
530321;393070;388368;186008;846321;411548;
661920;557819;1654022;586925;3118165;1404866;
312763;993517;1154304;512807;2637568;1145573;
1085540;1139198;2352740;990687;4719616;2088188;
252115;589623;1948416;715932;3479761;1512252;
1137804;1111522;2147320;790558;4105935;1789316;
647853;111005;1058414;666407;2365001;995021;
992227;193116;1516392;631064;3028385;1345084;
2783;472036;610967;339379;1505128;552509;
1034894;729833;155953;111908;353813;150231;
1095402;912524;1963958;995393;4299701;1825247;
1007748;828097;508575;277271;1370665;516932;
1140639;581556;1608092;595578;3391773;1377528;
