SIZE: 258
0 125 1
0 34 1
0 37 1
0 214 1
0 155 1
0 70 1
0 11 1
0 79 1
0 101 1
0 198 1
0 159 1
0 151 1
0 9 1
0 62 1
0 138 1
0 140 1
0 247 1
0 254 1
0 228 1
0 223 1
0 25 1
0 4 1
0 206 1
0 81 1
0 158 1
0 41 1
0 19 1
0 173 1
0 154 1
0 111 1
0 116 1
0 212 1
0 234 1
0 145 1
0 100 1
0 61 1
0 57 1
0 117 1
0 73 1
0 71 1
0 143 1
0 204 1
0 197 1
0 205 1
0 233 1
0 51 1
0 244 1
0 220 1
0 72 1
0 181 1
0 7 1
0 226 1
0 86 1
0 68 1
0 168 1
0 209 1
0 108 1
0 207 1
0 127 1
0 50 1
0 42 1
0 75 1
0 213 1
0 148 1
0 170 1
0 8 1
0 256 1
0 251 1
0 163 1
0 231 1
0 59 1
0 169 1
0 107 1
0 123 1
0 122 1
0 171 1
0 185 1
0 46 1
0 84 1
0 130 1
0 40 1
0 38 1
0 58 1
0 44 1
0 239 1
0 201 1
0 137 1
0 182 1
0 29 1
0 131 1
0 241 1
0 175 1
0 153 1
0 142 1
0 14 1
0 128 1
0 133 1
0 87 1
0 10 1
0 115 1
0 221 1
0 176 1
0 92 1
0 232 1
0 129 1
0 103 1
0 200 1
0 219 1
0 240 1
0 69 1
0 43 1
0 26 1
0 1 1
0 88 1
0 23 1
0 3 1
0 189 1
0 164 1
0 90 1
0 196 1
0 245 1
0 65 1
0 184 1
0 27 1
0 89 1
0 33 1
0 64 1
0 215 1
1 132 1
1 53 1
1 94 1
1 177 1
1 22 1
2 257 1
3 94 1
3 249 1
3 95 1
3 20 1
3 24 1
4 135 1
4 76 1
4 56 1
4 210 1
4 230 1
5 257 1
6 257 1
7 52 1
7 39 1
7 202 1
7 5 1
7 104 1
8 20 1
8 35 1
8 118 1
8 195 1
8 124 1
9 66 1
9 246 1
9 85 1
9 227 1
9 238 1
10 179 1
10 18 1
10 146 1
10 60 1
10 77 1
11 119 1
11 99 1
11 208 1
11 17 1
11 152 1
12 257 1
13 257 1
14 222 1
14 237 1
14 135 1
14 178 1
14 224 1
15 257 1
16 257 1
17 257 1
18 257 1
19 146 1
19 83 1
19 230 1
19 177 1
19 224 1
20 257 1
21 257 1
22 257 1
23 208 1
23 210 1
23 22 1
23 32 1
23 120 1
24 257 1
25 157 1
25 77 1
25 139 1
25 47 1
25 238 1
26 105 1
26 93 1
26 95 1
26 187 1
26 246 1
27 102 1
27 24 1
27 78 1
27 191 1
27 203 1
28 257 1
29 229 1
29 105 1
29 97 1
29 17 1
29 48 1
30 257 1
31 257 1
32 257 1
33 195 1
33 235 1
33 110 1
33 83 1
33 12 1
34 222 1
34 230 1
34 160 1
34 149 1
34 150 1
35 257 1
36 257 1
37 178 1
37 74 1
37 246 1
37 96 1
37 217 1
38 227 1
38 132 1
38 109 1
38 52 1
38 222 1
39 257 1
40 174 1
40 74 1
40 236 1
40 166 1
40 98 1
41 180 1
41 203 1
41 109 1
41 135 1
41 174 1
42 13 1
42 172 1
42 121 1
42 53 1
42 160 1
43 102 1
43 106 1
43 52 1
43 203 1
43 236 1
44 55 1
44 30 1
44 161 1
44 102 1
44 253 1
45 257 1
46 16 1
