VERTEXES;EDGES;MAX_WEIGHT;
1048576;4063200;1024;

SOURCE;TARGET;DIJKSTRA;DIALS;RADIX;
951313;133183;2318770;973349;3407954;
934455;110950;219055;120577;480565;
514213;756120;860499;559467;1961585;
8609;47985;701381;421181;1661631;
953635;376966;1259612;579185;2446399;
630970;174184;1242897;769934;2814090;
933555;853556;1907677;1226266;4274494;
650757;10960;1920640;1127911;4239437;
831007;42710;1322039;952427;3157667;
928139;910876;380919;205385;992334;
134718;541006;136250;86218;242549;
741304;93407;1264279;793496;3044914;
170508;578577;178589;106406;400681;
373739;271383;1204220;644258;2841501;
726274;490127;1802042;1073438;4603810;
134487;808440;1232695;873765;2979402;
960214;1048550;118114;68111;258988;
36638;589606;1235552;850585;2930266;
588500;634958;2062921;1069082;4305075;
884014;792346;1727845;890210;3617842;
912982;798370;1509129;951924;3459748;
134753;742302;323716;192388;709990;
191838;178856;1611316;1158953;4599062;
808316;525179;893556;506252;2163558;
795658;1030951;277861;145161;614376;
246267;272932;1787085;1098029;4257039;
519090;80008;35703;22555;69867;
668519;219375;1796923;959200;3869947;
562878;865723;1036396;753750;3094784;
948636;1044106;1800101;1406673;4327887;
752322;110933;223568;128129;503617;
890572;376485;854252;655315;2402493;
760109;918584;2146354;1763847;3816916;
233514;474721;3049233;1235539;4307540;
954357;262621;517182;269559;1164578;
308492;328179;1527687;1041977;3779204;
512197;500817;796907;517869;2201641;
320781;831713;3109195;1144941;4713876;
328420;548627;1285682;460092;1364252;
895207;388288;1640120;990300;4087168;
503211;713860;409757;202306;911742;
412461;232896;1101289;635061;2429764;
318321;781656;849145;645707;2234577;
338333;910653;1329974;718062;3117704;
37670;154705;1354948;727855;3264354;
530871;31916;1484070;1201114;3669009;
415043;138966;1785408;1099018;3745758;
399201;612981;937158;578808;2170419;
195457;647273;1030909;642197;2626673;
519877;51945;994933;541012;2326469;
95709;1032096;1686844;963004;3965781;
249666;775531;1981722;1132973;4681113;
75413;500578;912174;691690;2110881;
694295;981198;1878045;1342165;4628331;
562791;444967;615748;355461;1631166;
613559;383585;1876968;986967;4302043;
828949;599964;156565;94505;348526;
31216;251061;1832361;1110665;4101638;
935482;971440;1251892;1046270;2955535;
541401;694744;31812;20200;62016;
417459;662256;1597640;912139;3557610;
831550;687364;778418;527121;1898327;
28530;330862;910088;581885;2260882;
179070;247036;1855270;1038668;4282119;
809297;633038;1899017;1130378;4171579;
428586;210655;281330;145379;597454;
699004;40649;1530725;686025;2806020;
978506;830746;1082119;677657;2371414;
328521;770922;1438094;877115;3434549;
320564;334653;627904;330569;1612416;
405990;800145;348287;179298;763618;
181719;993710;528412;283906;1215465;
16636;481425;591469;393453;1416387;
215280;77802;1575131;848046;4020859;
977779;813735;962781;534094;2459889;
699672;300226;1351350;853597;3255611;
260544;23245;1242147;680495;2915848;
631961;693792;1100421;662804;2793448;
163757;252867;1632065;1024706;3946873;
41753;753966;1444951;1067939;3482507;
755793;326523;478204;274581;1302715;
48000;461910;978917;511893;2261565;
556279;94969;229850;159326;668533;
833328;500313;1775493;1159735;4285326;
507613;550502;1173744;634335;2887293;
489354;595167;1170892;502847;2245190;
591715;236698;1319056;713806;3064040;
795596;831779;1041109;694405;2474602;
520666;181137;1048961;539409;2049581;
1017049;108294;122239;69941;269689;
694859;776467;1138230;769973;2557058;
57852;454039;1475381;1011918;3494281;
245941;407509;2039922;1423488;4327209;
170426;156732;2398136;1116191;4492024;
976096;85351;1554646;904257;3374105;
46032;798971;279840;150190;643232;
71560;725219;911801;417379;1630627;
338429;188147;226515;117717;469314;
184012;436454;850427;479086;2013440;
18354;1005544;556605;313083;1300657;
665835;146776;363874;199531;929928;
469465;234717;249930;137104;536678;
