VERTEXES;EDGES;MAX_WEIGHT;
1048576;4063200;4096;

SOURCE;TARGET;DIJKSTRA;DIALS;RADIX;RADIX_2;
951313;133183;476797;306689;996469;431797;
934455;110950;1170497;1247663;3385107;1391574;
514213;756120;284474;240195;704473;311881;
8609;47985;892398;767079;2173950;928651;
953635;376966;1671019;1330413;4256735;1787072;
630970;174184;253178;226980;654685;271449;
933555;853556;583897;616801;1572881;670399;
650757;10960;1162547;1215585;3204080;1306258;
831007;42710;991551;1190007;2776063;1172805;
928139;910876;655896;565850;1841245;746116;
134718;541006;1472850;1341855;3992287;1668944;
741304;93407;143633;109559;351570;163226;
170508;578577;1095735;1051597;2933335;1224394;
373739;271383;1350071;1659717;3630224;1537890;
726274;490127;1569116;1572220;3996975;1721093;
134487;808440;1503165;1910999;4528098;1920411;
960214;1048550;231157;194429;596769;281753;
36638;589606;211877;204445;468826;270971;
588500;634958;248937;172334;638709;292875;
884014;792346;598210;448325;1270269;607613;
912982;798370;2714310;2706022;6087244;2095208;
134753;742302;1801966;2216929;4844037;2129421;
191838;178856;1318983;1091362;3344484;1476488;
808316;525179;1160753;1358894;3347465;1394109;
795658;1030951;366212;309732;1027803;446813;
246267;272932;992334;1145687;2653705;1192087;
519090;80008;1624085;1440287;4223081;1890428;
668519;219375;582986;581461;1785533;676644;
562878;865723;425835;522737;1204254;520443;
948636;1044106;1821309;1830725;4912616;2108099;
752322;110933;497108;422638;1296698;560425;
890572;376485;980185;766928;2464015;1046932;
760109;918584;103341;76112;263250;110572;
233514;474721;680722;823891;1945386;844757;
954357;262621;1360132;1257670;3588644;1526727;
308492;328179;97378;88594;290511;130160;
512197;500817;885295;775827;2372284;1027485;
320781;831713;1316307;1068519;3423585;1489679;
328420;548627;1203086;1440976;3275440;1399159;
895207;388288;107561;88294;278498;118674;
503211;713860;1654587;1414112;4396732;1837785;
412461;232896;42546;39888;117753;52218;
318321;781656;1056952;917512;2873321;1198465;
338333;910653;1410272;1106306;3534424;1567015;
37670;154705;585755;494356;1528161;668018;
530871;31916;1057289;1077911;2898613;1256069;
415043;138966;252166;289762;640384;290409;
399201;612981;212637;289145;647942;272316;
195457;647273;335611;277342;873347;376344;
519877;51945;1392707;1128984;3714552;1524052;
95709;1032096;86204;81478;238446;108261;
249666;775531;397903;344658;1031868;458505;
