VERTEXES;EDGES;MAX_WEIGHT;
16384;63456;16384;

SOURCE;DIJKSTRA;DIALS;RADIX;
14865;21097;4600878;88841;
2081;36998;3646659;76456;
14601;29270;3753478;72924;
1734;35552;3762762;80619;
8035;34425;4233314;85658;
11815;31983;3836087;99326;
135;39710;4958492;85100;
750;46205;4019685;92956;
14901;33191;3996361;72924;
5891;32891;4053359;80462;
9859;40141;3895826;78682;
2722;33166;5321625;133617;
14587;42574;4759915;85771;
13337;33424;3897839;93388;
10169;33869;3811295;86003;
172;39836;3834210;90867;
12985;37262;4196379;85188;
668;29223;3808513;82372;
14503;31548;3721077;90929;
14233;35445;3759739;96146;
2105;42304;3903223;85909;
8454;29795;3789443;80631;
11583;29063;3719574;86963;
1460;36069;3736700;78790;
2665;35567;3836504;78020;
9041;29382;3807148;78333;
5840;28723;3910245;92383;
4241;35886;3674477;80982;
11349;37845;3892575;87528;
7659;32307;3791572;88477;
2102;40253;4487056;142342;
12632;52520;5016009;91849;
15004;46426;4178540;94431;
16384;42746;4074796;93034;
573;37872;3982030;83650;
9213;40054;4121659;97915;
9196;34916;3998983;79919;
9922;31015;3915304;93228;
13813;39779;3965812;93280;
12381;33802;3962056;84447;
14266;34964;4009020;78530;
12475;32505;3938481;86909;
2106;42035;4042311;73178;
11599;32069;4023375;91787;
2998;35529;3871785;84994;
2795;48123;4007858;84590;
12630;30805;4083119;98196;
8206;42758;4097445;86891;
12433;37343;5078292;133135;
16109;60526;5770675;117201;
3848;55390;4623212;92089;
4265;39877;4723864;85742;
8111;47875;6926384;95452;
1251;54312;4855785;98659;
10446;33892;4747365;95193;
3428;35564;4507991;107045;
8795;36665;4488821;93530;
13527;39343;4597765;107009;
14823;36455;4587388;96245;
16315;42930;4513790;102682;
11756;38356;4657327;132703;
1734;41781;6744754;145160;
13916;73624;6562644;93497;
5883;39895;4624457;122146;
11877;54720;4543776;82841;
14353;45734;4310439;92865;
3649;37239;4802341;109088;
7418;36470;5818143;97172;
14912;45114;4338208;84620;
4104;49314;4269391;87994;
4821;34032;4597301;119391;
5128;37785;4380885;110233;
8004;36318;4192171;79920;
7826;39856;4353301;79136;
5013;35706;4192131;90557;
12996;30998;4285232;99731;
5132;34909;4319873;97291;
8573;35400;4294701;97894;
13988;31037;4250116;118126;
6067;47683;4238345;88114;
7863;39494;4327092;85932;
11155;31679;4279201;98593;
6445;42242;4330853;102248;
3639;43884;4267305;87473;
4974;38320;4506491;91880;
12214;34068;4473190;105116;
5287;45523;4307340;96967;
14229;45972;4738210;118470;
589;49734;4364330;84971;
2418;44867;4475026;92195;
8295;38663;4348897;82496;
499;42971;4486999;105602;
6486;44887;4404964;85642;
2172;42062;4339252;89170;
6238;42699;4309450;89184;
9578;34930;4350422;99741;
3055;40526;4204893;85004;
10114;41595;4252039;86803;
8124;61567;4405684;91757;
812;49035;4327237;88553;
1496;29671;4347777;100065;
16127;45985;4440104;98778;
