VERTEXES;EDGES;MAX_WEIGHT;
65536;253920;65536;

SOURCE;TARGET;DIJKSTRA;DIALS;RADIX;
59458;8324;87680;1689447;300738;
58404;6935;67914;755638;171727;
32139;47258;67955;710177;214596;
539;3000;42321;315485;150114;
59603;23561;45126;330170;145877;
39436;10887;32911;301147;112562;
58348;53348;64074;735695;209892;
40673;685;56648;424317;192325;
51938;2670;35883;258654;111894;
58009;56930;19206;138652;59873;
8420;33813;61258;714237;208923;
46332;5838;37612;268196;116079;
10657;36162;21475;155645;70471;
23359;16962;71693;805140;244729;
45393;30633;63876;820770;215180;
8406;50528;44093;369745;133638;
60014;65535;33892;242446;109116;
2290;36851;43119;384116;143267;
36782;39685;6126;48589;20559;
55251;49522;66108;596504;207827;
57062;49899;27318;199381;88895;
8423;46394;70024;797100;235983;
11990;11179;67908;1034153;240578;
50520;32824;65103;749061;219227;
49729;64435;22563;159857;69652;
15392;17059;61057;769863;203586;
32444;5001;32179;249574;104202;
41783;13711;21494;234212;75178;
35180;54108;30880;219111;93081;
59290;65257;24846;262792;82239;
47021;6934;5021;34002;14835;
55661;23531;22585;171079;76968;
47507;57412;38386;245143;94793;
14595;29671;5265;45508;19508;
59648;16414;62131;431936;192479;
19281;20512;17363;124403;54179;
32013;31302;10028;74213;33182;
20049;51983;59962;428278;191775;
20527;34290;12461;94718;41365;
55951;24268;1809;11931;4433;
31451;44617;3164;24331;10129;
25779;14556;14589;102900;47630;
19896;48854;54967;671022;185839;
21146;56916;34219;241578;104765;
2355;9670;55853;595613;185166;
33180;1995;53974;777067;185969;
25941;8686;59056;485790;203243;
24951;38312;48803;347322;152879;
12217;40455;43692;552446;193828;
32493;3247;57372;782594;190106;
5982;64506;3262;22338;9231;
15605;48471;60571;447758;199977;
4714;31287;77368;770408;234720;
43394;61325;78680;850659;250173;
35175;27811;69330;554362;225926;
38348;23975;13018;93386;41077;
51810;37498;3501;26947;11265;
1951;15692;12843;94840;41221;
58468;60715;57944;725531;192328;
33838;43422;14195;148516;48165;
26092;41391;35369;256208;120120;
51972;42961;60725;433750;191993;
1784;20679;58215;413088;180085;
11192;15440;68853;687051;215453;
50582;39565;59560;795929;205564;
26787;13166;72365;777390;236829;
43688;2541;26690;384613;87736;
61157;51922;45762;623576;158948;
20533;48183;62477;777449;266676;
20036;20916;9548;65718;27816;
25375;50010;29577;195871;81887;
11358;62107;38121;269920;118756;
1040;30090;21258;168203;67070;
13455;4863;41096;513407;136316;
61112;50859;4192;27269;11783;
43730;18765;6431;48697;21794;
16284;1453;6754;51508;21355;
39498;43362;48483;337680;153281;
10235;15805;45450;347562;145638;
2610;47123;35936;303487;119035;
47238;20408;31608;226190;98336;
3000;28870;27498;202851;89390;
34768;5936;6455;48987;20834;
52083;31270;78814;648950;288164;
31726;34407;39296;280980;119932;
30585;37198;20133;275342;67914;
36983;14794;57936;679323;190737;
49725;51987;24747;179214;80059;
32542;11322;68430;618686;221204;
63566;6769;41243;450120;122609;
43429;48530;35111;249994;110817;
3616;28378;37496;282881;123905;
15372;25470;25466;174132;76451;
10652;9796;54549;612745;184384;
61006;5335;57270;764232;183495;
2877;49936;62287;775401;216076;
4473;45327;23272;166735;74270;
21152;11760;69190;814150;224378;
11501;27279;10775;84804;36213;
1148;62847;39873;347939;126917;
41615;9174;10855;148502;37368;
29342;14670;29292;210463;95164;
