VERTEXES;EDGES;MAX_WEIGHT;
65536;253920;65536;

SOURCE;DIJKSTRA;DIALS;RADIX;RADIX_2;
59458;136295;1478096;357751;141043;
8324;103326;1287696;373440;129528;
58404;105243;1380490;382270;135171;
6935;122864;1129811;393924;132644;
32139;104077;1128773;358091;135466;
47258;91232;1345436;359015;135772;
539;103429;804194;381223;127330;
3000;104943;1038868;370805;141172;
59603;101926;742139;356912;138173;
23561;107075;1147661;356526;143025;
39436;103874;1222335;374491;146068;
10887;105182;792084;357415;146458;
58348;109201;1191373;376691;141504;
53348;91697;1216822;363628;145066;
40673;106907;956528;368494;122047;
685;93879;1065625;361473;138008;
51938;112706;1070969;405959;155951;
2670;118490;728718;369605;146296;
58009;101539;1215341;365715;149599;
56930;99323;1418693;366971;135878;
8420;109859;1160343;346087;129005;
33813;100159;1265793;379063;129064;
46332;106623;893363;352907;148447;
5838;107550;1272658;351562;140703;
10657;108934;1071531;351070;127619;
36162;98297;1275141;356022;139500;
23359;106954;1075926;354451;135424;
16962;106423;1431625;357855;138564;
45393;104951;1134311;359836;139673;
30633;97511;1189909;354311;121939;
8406;105321;1131254;362095;127928;
50528;114976;799407;350869;140459;
60014;114360;882688;375569;121195;
65535;106737;1171625;357862;124879;
2290;104760;1109025;369084;139984;
36851;109922;883036;351278;142988;
36782;115764;885192;381246;139350;
39685;111032;967347;403801;149590;
55251;114028;1067633;414173;161884;
49522;132585;1556045;442793;160156;
57062;142035;1466606;472656;177102;
49899;147658;1207530;513240;157819;
8423;112063;1221236;360247;154094;
46394;106230;1452019;361876;129615;
11990;99915;1313204;363680;137943;
11179;94568;1415123;375695;141101;
50520;106516;1191352;389572;132129;
32824;101912;1310997;508019;194634;
49729;128639;1099398;494018;178176;
64435;136987;1315122;470073;183056;
15392;136138;1635911;448467;166674;
17059;126646;1585556;456480;180717;
