VERTEXES;EDGES;MAX_WEIGHT;
131072;507872;131072;

SOURCE;TARGET;DIJKSTRA;DIALS;RADIX;RADIX_2;
118915;16648;14208;214665;46151;17532;
116807;13869;160165;2862552;530047;208838;
64277;94515;137209;2302984;623424;225519;
1077;5999;198251;3073097;660670;238110;
119205;47121;89128;1156970;262995;107705;
78872;21773;22493;321038;86166;32455;
116695;106695;177345;3970857;625784;227048;
81345;1370;197508;3638742;768612;295580;
103876;5339;133434;1664134;441235;158124;
116018;113860;18271;214364;61234;26690;
16840;67626;149302;3689327;524583;197488;
92663;11676;49545;656820;160810;59761;
21314;72323;62918;1249835;224184;85465;
46718;33923;135481;1635187;433624;162237;
90785;61266;82554;1029779;269058;111446;
16811;101055;31978;499787;118030;40402;
120027;131069;188505;2787817;633823;245923;
4580;73701;101721;1553224;362076;155202;
73563;79370;142212;1788888;485750;170024;
110502;99044;186081;4844884;679992;251189;
114123;99797;136422;3182137;438374;167196;
16845;92788;174051;3858981;636523;253464;
23980;22357;41608;536058;136454;54287;
101040;65648;218436;3217675;750554;280257;
99458;128869;131514;1941722;471573;163439;
30784;34117;97677;1213845;330538;116868;
64887;10001;119013;1622716;496803;175069;
83565;27422;206661;4490437;876548;287976;
70360;108216;20842;315108;74510;28868;
118580;130514;94554;1240427;347799;125403;
94041;13867;102499;2094790;345593;131264;
111322;47061;176486;4753582;659365;233896;
95014;114823;53642;722995;192176;73384;
29190;59341;153033;2943476;552318;182810;
119295;32828;23058;317807;82815;31229;
38562;41023;136216;3571940;484149;183141;
64025;62603;176803;2415999;686484;238520;
40098;103965;96911;1445631;314275;119390;
41053;68579;39050;949015;149505;58667;
111901;48536;65453;947696;231601;89203;
62902;89233;11019;142211;33094;13454;
51558;29112;192040;3962571;653190;258876;
39791;97707;130135;3106643;451980;181415;
42292;113832;90084;1086906;303735;97608;
4709;19339;25523;351812;78547;25455;
66359;3990;172695;1942615;503565;187821;
51881;17371;39067;572456;148890;57364;
49901;76623;175697;2694075;635101;212363;
24433;80910;26097;377551;102620;35178;
64985;6494;97456;1398541;390958;161453;
11964;129012;200006;2278885;483757;181150;
31209;96942;193563;4978164;708436;258831;
