VERTEXES;EDGES;MAX_WEIGHT;
1048576;4194304;4096;

SOURCE;TARGET;DIJKSTRA;DIALS;RADIX;RADIX_2;
951313;133183;2763001;1063065;3475050;1495777;
934455;110950;1294756;687084;1816108;791256;
514213;756120;3038044;1208522;4107362;1796812;
8609;47985;1079317;610825;1536947;683360;
953635;376966;1855239;871668;2544248;1093212;
630970;174184;1202537;615443;1628252;737333;
933555;853556;3091847;1179625;4204947;1717029;
650757;10960;2004466;869860;2540374;1088735;
831007;42710;3262522;1199465;4038154;1650031;
928139;910876;3269503;1256192;4208211;1746714;
134718;541006;1556080;784663;2044213;931084;
741304;93407;2153152;978144;2986948;1236664;
170508;578577;2232539;1005806;3560032;1540841;
373739;271383;2322560;1063920;3174555;1387830;
726274;490127;2920785;1190960;3881396;1664110;
134487;808440;1187823;662333;1733419;743912;
960214;1048550;3635714;1356322;4747695;1961082;
36638;589606;2549012;1071606;2803299;1191449;
588500;634958;297760;220733;525055;224641;
884014;792346;2925863;1169710;3849019;1596761;
912982;798370;2800446;1142784;3703477;1542793;
134753;742302;3466443;1325020;4489757;2002353;
191838;178856;3562570;1329481;4739854;1976445;
808316;525179;882417;545360;1306183;579007;
795658;1030951;115578;97154;206067;94364;
246267;272932;996274;592852;1450866;759987;
519090;80008;1505014;697979;1868742;806614;
668519;219375;3610293;1328829;4682952;1974551;
562878;865723;873781;518661;1259921;554867;
948636;1044106;1206361;709672;1784879;750880;
752322;110933;3540694;1327018;4652208;1954071;
890572;376485;1218559;685868;1750986;769278;
760109;918584;2560634;1080736;3402204;1498864;
233514;474721;2938395;1182164;3820293;1637274;
954357;262621;72385;63312;119758;63812;
308492;328179;2294896;1015205;3015506;1297767;
512197;500817;2007715;925875;2779823;1174695;
320781;831713;3590670;1327117;4773950;1973035;
328420;548627;643481;406608;926320;415009;
895207;388288;3530354;1291836;4574075;1919435;
503211;713860;2069059;923369;2734779;1206492;
412461;232896;3041920;1217603;3963547;1640324;
318321;781656;1330058;698305;1810708;817056;
338333;910653;2674932;1072060;3626252;1528825;
37670;154705;3305580;1225591;4330133;1874945;
530871;31916;1105820;614770;1579204;691557;
415043;138966;3746984;1315200;4897443;2064086;
399201;612981;1745851;824413;2357945;1031709;
195457;647273;1553402;774396;2195711;979092;
519877;51945;1028433;563576;1580621;679191;
95709;1032096;3240586;1699018;4503972;1547022;
249666;775531;3982801;1306982;5127486;2125886;
