VERTEXES;EDGES;MAX_WEIGHT;
32768;131072;32768;

SOURCE;TARGET;DIJKSTRA;DIALS;RADIX;
29729;4162;55948;44024;94744;
29202;3468;56328;22653;115433;
16070;23629;69877;26673;126378;
270;1500;94904;53214;273781;
29802;11781;24529;14980;45057;
19718;5444;53118;22139;137142;
29174;26674;123601;84432;242900;
20337;343;2805;9605;4362;
25969;1335;219940;102066;188848;
29005;28465;95148;28726;183845;
4210;16907;77240;33107;142044;
23166;2919;7686;6579;15151;
5329;18081;110666;33866;174975;
11680;8481;99040;30346;176280;
22697;15317;35176;19977;64887;
4203;25264;60912;27500;131597;
30007;32768;39746;20711;84005;
1145;18426;70769;23796;113376;
18391;19843;1923;4309;3721;
27626;24761;50894;21270;94149;
28531;24950;6089;6057;12280;
4212;23197;16920;12183;27918;
5995;5590;12222;10558;29366;
25260;16412;46083;22637;79081;
24865;32218;31595;15256;61778;
7696;8530;47819;20417;90321;
16222;2501;80246;38414;173406;
20892;6856;35485;26191;80029;
17590;27054;110763;44088;221134;
29645;32629;94039;37350;154869;
23511;3467;115246;44812;214164;
27831;11766;20353;17403;32354;
23754;28706;45773;23080;82861;
7298;14836;63865;25782;146067;
29824;8207;14033;11550;27433;
9641;10256;103061;30148;184124;
16007;15651;47203;21431;94530;
10025;25992;87447;30176;165880;
10264;17145;38614;18787;72519;
27976;12134;74764;26067;135411;
15726;22309;6987;6871;14792;
12890;7278;49147;23558;84862;
9948;24427;10575;7191;21754;
10573;28458;50497;24554;118473;
1178;4835;17541;13151;30636;
16590;998;60263;25445;101594;
12971;4343;57819;24511;110425;
12476;19156;9354;9151;19956;
6109;20228;17397;13157;33142;
16247;1624;72635;27508;131703;
2991;32253;72894;27942;143392;
7803;24236;8307;6199;16940;
2357;15644;53923;22851;100519;
21697;30663;95722;29076;181611;
17588;13906;1326;4119;2501;
19174;11988;58498;33151;130238;
25905;18749;32852;18562;59138;
976;7846;27444;14506;43246;
29234;30358;29456;17842;50214;
16919;21711;7947;7274;18787;
13046;20696;74226;30097;139352;
25986;21481;25690;18852;53521;
892;10340;85953;29178;176197;
5596;7720;87850;25491;163467;
25291;19783;63261;22484;117039;
13394;6583;45420;20972;92878;
21844;1271;47127;23565;96052;
30579;25961;98267;29464;176738;
10267;24092;72484;25873;116550;
10018;10458;40161;19863;76824;
12688;25005;10810;8357;22986;
5679;31054;3880;4862;8442;
520;15045;55346;25090;94567;
6728;2432;46347;20652;80584;
30556;25430;91138;34351;171696;
21865;9383;29357;15320;49158;
8142;727;56435;27352;117532;
19749;21681;43259;21065;74303;
5118;7903;48127;21057;80484;
1305;23562;58688;24381;111453;
23619;10204;84139;27008;156650;
1500;14435;41404;20008;76022;
17384;2968;12059;8910;24180;
26042;15635;78494;26452;142735;
15863;17204;82414;32291;145180;
15293;18599;88938;29154;171347;
18492;7397;81090;28553;138464;
24863;25994;65573;31613;120633;
16271;5661;50249;24655;102231;
31783;3385;51856;21062;74924;
21715;24265;73535;28851;155545;
1808;14189;66520;24990;109081;
7686;12735;15248;11889;28948;
5326;4898;38692;19377;73334;
30503;2668;6584;6024;13511;
1439;24968;14899;11653;30803;
2237;22664;51790;22755;100435;
10576;5880;9799;7482;16660;
5751;13640;75618;27520;141573;
574;31424;12464;9069;26343;
20808;4587;71226;29273;134850;
14671;7335;65660;26730;117056;
