VERTEXES;EDGES;MAX_WEIGHT;
32768;131072;32768;

SOURCE;DIJKSTRA;DIALS;RADIX;RADIX_2;
29729;135318;67304;284650;89008;
4162;119312;37610;191486;84317;
29202;92445;31623;187935;84499;
3468;103726;34446;194644;75787;
16070;98572;30474;189952;82267;
23629;94397;33467;198585;81314;
270;97891;31690;198561;83183;
1500;103073;34503;193476;69704;
29802;142749;30239;180197;78083;
11781;101909;31369;208986;78588;
19718;102325;29655;216544;81956;
5444;102305;35263;179851;83004;
29174;102807;42120;194220;83175;
26674;103497;33154;197778;84933;
20337;97425;28980;182874;77795;
343;117154;32275;194781;72284;
25969;91676;31737;200584;69981;
1335;100145;31779;188691;76905;
29005;100560;35564;186196;79805;
28465;92331;28965;191647;82601;
4210;102787;32993;190207;83353;
16907;95414;31718;171867;74117;
23166;88599;32925;198107;79335;
2919;96025;32421;185585;80679;
5329;102047;30314;202596;78002;
18081;93014;31213;185285;67919;
11680;89845;28830;169838;69659;
8481;89136;33374;183548;73669;
22697;97086;28288;183242;72917;
15317;101149;35055;198777;85722;
4203;105803;33425;190328;80513;
25264;102426;34322;172871;74605;
30007;94353;30102;174768;75204;
32768;101303;33085;199302;82945;
1145;103181;33548;175126;69182;
18426;98836;33108;184194;78909;
18391;96791;30571;191786;70743;
19843;99369;32716;187854;75323;
27626;95555;31541;188268;72833;
24761;96294;28398;168782;74441;
28531;101462;34168;194563;75419;
24950;92930;26953;193222;71777;
4212;92143;31132;187632;75294;
23197;87356;26863;192897;67879;
5995;86230;30596;175418;67892;
5590;89306;31042;184438;74958;
25260;97624;32192;174737;75588;
16412;104680;33730;193931;81546;
24865;99837;27552;186232;75976;
32218;98261;32851;196353;83318;
7696;103147;33624;173371;71885;
8530;89999;31324;190601;82279;
