VERTEXES;EDGES;MAX_WEIGHT;
65536;262144;65536;

SOURCE;DIJKSTRA;DIALS;RADIX;
59458;227680;108303;401818;
8324;211444;101121;404716;
58404;212904;113263;372643;
6935;262944;106138;397431;
32139;198626;99615;370756;
47258;211484;102928;380967;
539;211438;106363;378019;
3000;214692;108381;391669;
59603;211369;110662;403710;
23561;207891;102696;387910;
39436;226852;136305;803733;
10887;403879;177008;524868;
58348;272608;113688;401271;
53348;256821;109215;470081;
40673;382142;192544;767572;
685;245595;116662;393319;
51938;223201;108746;453968;
2670;267427;124992;409463;
58009;220876;106311;409898;
56930;213354;107072;406708;
8420;217741;104903;396104;
33813;214775;103271;389137;
46332;213707;106958;386286;
5838;221366;104620;402591;
10657;237650;105546;392044;
36162;218531;114390;402778;
23359;218287;103940;525337;
16962;372830;218317;700868;
45393;309504;116931;517047;
30633;258706;115581;456735;
8406;224362;104924;449460;
50528;244952;112809;423063;
60014;287936;128256;478950;
65535;259589;122334;425244;
2290;226564;134127;467048;
36851;220707;109002;517081;
36782;237813;141672;444348;
39685;229539;104293;408093;
55251;235524;109564;392138;
49522;223812;149117;428022;
57062;245225;118598;393482;
49899;231198;110204;396950;
8423;224315;109772;412408;
46394;223632;105121;407774;
11990;218021;107729;406058;
11179;214621;119662;656502;
50520;356227;106124;425114;
32824;242151;109970;391712;
49729;234458;167991;865920;
64435;297103;138574;467120;
15392;235414;116348;423892;
17059;227359;137863;411370;
32444;246688;129006;926100;
5001;322840;140051;664265;
41783;381017;204283;864606;
13711;349956;117764;451678;
35180;254610;117713;428860;
54108;241136;113462;447357;
59290;267491;117593;426235;
65257;255891;125361;444103;
47021;308304;128096;500039;
6934;280802;125141;406926;
55661;246571;113927;412696;
23531;249769;111679;417867;
47507;244265;114006;394357;
57412;233654;116733;418996;
14595;234165;118162;415844;
29671;236470;116282;397600;
59648;230942;112675;407557;
16414;240605;107446;399148;
19281;225441;112188;402847;
20512;232598;103233;404580;
32013;241214;116062;411682;
31302;237901;152684;467296;
20049;250650;118809;388373;
51983;338845;130272;411468;
20527;251394;116681;390583;
34290;241058;111107;427905;
55951;260829;117890;409231;
24268;239735;109858;420102;
31451;243294;115438;407330;
44617;250235;117049;409146;
25779;244341;118971;397479;
14556;243047;113644;394417;
19896;245782;106380;419413;
48854;253989;135532;398087;
21146;268090;124693;412093;
56916;255543;115529;419467;
2355;234698;118090;403727;
9670;227876;119986;418070;
33180;244572;116787;424629;
1995;236067;120622;401340;
25941;237006;117284;393785;
8686;235632;107676;391360;
24951;235441;109689;407129;
38312;243020;123451;400306;
12217;235060;117224;415408;
40455;244050;113335;395982;
32493;240588;112456;397271;
3247;233526;110659;411420;
5982;237879;107934;394918;
64506;231430;107243;408133;
