VERTEXES;EDGES;MAX_WEIGHT;
1048576;4190208;256;

SOURCE;TARGET;DIJKSTRA;DIALS;RADIX;RADIX_2;
951313;133183;3133447;897067;3349389;1773258;
934455;110950;90212;40174;131497;73181;
514213;756120;2231492;694442;2503355;1312620;
8609;47985;1519792;564361;1834044;992751;
953635;376966;388919;142020;474009;263134;
630970;174184;392714;148670;444792;207223;
933555;853556;2692508;884792;3390412;1649182;
650757;10960;2421258;811640;3105002;1570594;
831007;42710;1540583;545592;1839356;927253;
928139;910876;1081409;385262;1521003;715532;
134718;541006;1883561;624356;2437665;1218438;
741304;93407;626833;212603;881866;529494;
170508;578577;2297318;732309;2983535;1481468;
373739;271383;2317433;885421;2713988;1414052;
726274;490127;1673833;568205;1908828;1002951;
134487;808440;2792828;879155;3344772;1741984;
960214;1048550;585153;208872;847908;448429;
36638;589606;820656;279655;1050036;561912;
588500;634958;2524630;807723;3133503;1590065;
884014;792346;1469227;547635;1783446;898245;
912982;798370;1273628;477225;1733416;811524;
134753;742302;1421686;481480;1987512;980299;
191838;178856;819535;290824;1068452;558158;
808316;525179;1445084;509985;1753274;897404;
795658;1030951;847297;264044;939122;449915;
246267;272932;1376476;464670;1938601;934554;
519090;80008;1513895;522914;1997919;1014151;
668519;219375;2709174;1059897;3376116;1749680;
562878;865723;2812906;907596;3340577;1766459;
948636;1044106;1992504;649871;2374747;1262721;
752322;110933;565020;196754;880427;422470;
890572;376485;989152;346752;1235402;648853;
760109;918584;326164;117785;444639;243277;
233514;474721;2500061;808292;3153879;1562712;
954357;262621;1102424;378985;1560240;746740;
308492;328179;1947657;688693;2545346;1272907;
512197;500817;418808;151805;530989;278176;
320781;831713;810732;342286;960760;485982;
328420;548627;1915280;673067;3109337;1291867;
895207;388288;201164;74006;240789;128224;
503211;713860;35950;66162;55162;30364;
412461;232896;986302;366525;1374007;659557;
318321;781656;2515356;1028088;3160942;1668299;
338333;910653;2148848;697836;2671358;1301739;
37670;154705;2001168;646096;2303176;1176199;
530871;31916;2561151;813729;3002413;1555969;
415043;138966;211048;75310;282486;138774;
399201;612981;2326325;734996;2781017;1431837;
195457;647273;2586354;803500;3136856;1586604;
519877;51945;1997625;645867;2276397;1194055;
95709;1032096;2171024;700541;2494480;1276050;
249666;775531;2520308;821436;2992160;1549088;
