VERTEXES;EDGES;MAX_WEIGHT;
1048576;4190208;1024;

SOURCE;TARGET;DIJKSTRA;DIALS;RADIX;
951313;133183;3781935;968436;4053626;
934455;110950;23042;13640;44301;
514213;756120;1289236;571311;1945186;
8609;47985;476117;192609;923154;
953635;376966;782283;288042;1232302;
630970;174184;440167;171496;718996;
933555;853556;2835353;1015521;4181648;
650757;10960;2651669;889139;3779093;
831007;42710;1819618;561542;2448138;
928139;910876;1194901;458955;2001415;
134718;541006;11538;9469;18823;
741304;93407;1675970;574575;2691823;
170508;578577;450995;168627;738344;
373739;271383;1953544;741683;2776368;
726274;490127;3069663;973351;4176481;
134487;808440;1860218;631196;2808777;
960214;1048550;102406;45030;150886;
36638;589606;1087803;477519;1764807;
588500;634958;2949946;1227462;4309935;
884014;792346;2280687;742229;3151490;
912982;798370;1130317;480314;1813355;
134753;742302;59408;31788;110280;
191838;178856;1637419;554588;2708118;
808316;525179;1714892;592588;2636987;
795658;1030951;1996836;675265;3138582;
246267;272932;2564535;1002180;3784088;
519090;80008;6355;9102;10926;
668519;219375;2867506;929015;4171798;
562878;865723;1043840;453640;1677278;
948636;1044106;1912002;664710;3097514;
752322;110933;670120;235941;995019;
890572;376485;1279768;424245;1862494;
760109;918584;1057788;382357;1847788;
233514;474721;2181781;748454;3387294;
954357;262621;1466948;506190;2360119;
308492;328179;2535238;919832;4108650;
512197;500817;1176968;540590;1827219;
320781;831713;2356057;943142;3561118;
328420;548627;2707385;921789;3884684;
895207;388288;2361487;757039;3315501;
503211;713860;152367;69849;252478;
412461;232896;1200797;482976;1821618;
318321;781656;648340;224823;971178;
338333;910653;978580;444731;1711124;
37670;154705;1424846;475584;2385387;
530871;31916;2714916;860290;4076761;
415043;138966;2702841;888809;3912970;
399201;612981;875622;340296;1564226;
195457;647273;972510;336844;1505074;
519877;51945;1934096;630554;2681089;
95709;1032096;2943480;955085;4475660;
249666;775531;1990382;797046;3004167;
75413;500578;2102155;735090;3173026;
694295;981198;2551066;862523;3690702;
562791;444967;428705;138990;589190;
613559;383585;1466955;464194;2103372;
828949;599964;1108711;487322;1842784;
31216;251061;2082611;762408;3350126;
935482;971440;777732;288056;1344947;
541401;694744;808742;279487;1255781;
417459;662256;888684;317698;1489353;
831550;687364;1012190;349066;1525641;
28530;330862;414430;151759;695864;
179070;247036;3080710;919067;4110516;
809297;633038;3083086;989606;4115411;
428586;210655;350631;137913;561760;
699004;40649;1163372;356192;1605234;
978506;830746;477422;185273;732689;
328521;770922;2386673;799712;3561107;
320564;334653;2564840;869854;3816723;
405990;800145;116057;47331;194703;
181719;993710;609039;220785;1016021;
16636;481425;385673;112828;498214;
215280;77802;2561387;1140083;4440953;
977779;813735;2787078;927543;3924011;
699672;300226;2378350;820007;3419837;
260544;23245;626914;232045;1162660;
631961;693792;918284;337903;1393319;
163757;252867;2523808;895588;3817023;
41753;753966;1943432;666737;2825942;
755793;326523;2123497;647435;2852138;
48000;461910;792765;277311;1327833;
556279;94969;200426;67677;316003;
833328;500313;2719974;1027642;4295625;
507613;550502;1910032;664165;2680159;
489354;595167;2786096;895568;3883298;
591715;236698;856355;319619;1401337;
795596;831779;820226;295185;1303802;
520666;181137;1187493;583662;1843840;
1017049;108294;50862;25351;93212;
694859;776467;1064130;381867;1835314;
57852;454039;1993977;695926;3116121;
245941;407509;2783271;982337;4448756;
170426;156732;1992712;651234;2883403;
976096;85351;2719862;907242;3785470;
46032;798971;104030;42538;171308;
71560;725219;253603;90889;385032;
338429;188147;102371;40002;173221;
184012;436454;1202588;610345;1793328;
18354;1005544;167906;66677;271256;
665835;146776;453199;176803;743941;
469465;234717;1152852;412778;1698025;
