VERTEXES;EDGES;MAX_WEIGHT;;;
16384;65024;16384;;;
;;;;;
SOURCE;TARGET;DIJKSTRA;DIALS;RADIX;RADIX_2
14865;2081;31164;23335;106474;37848
14601;1734;1800;3903;5792;2081
8035;11815;53562;39820;127662;55855
135;750;7499;8046;20619;6437
14901;5891;20937;18821;68236;21032
9859;2722;61660;47477;195397;91735
14587;13337;53313;40699;75011;33658
10169;172;60559;55770;134772;68944
12985;668;38419;15812;74168;24211
14503;14233;63345;67019;171307;82407
2105;8454;74361;45094;168550;90816
11583;1460;41967;25917;79696;31100
2665;9041;3355;4976;10052;3921
5840;4241;26910;16899;68741;27575
11349;7659;11906;12121;31109;11884
2102;12632;43631;29365;94279;33230
15004;16384;4247;4737;11426;4730
573;9213;9988;8027;23046;9673
9196;9922;351;1576;992;416
13813;12381;17495;12129;48699;18556
14266;12475;19734;14018;57848;23580
2106;11599;169;1474;433;198
2998;2795;8784;7976;23931;10189
12630;8206;12457;9699;32578;14734
12433;16109;8126;6252;17105;7709
3848;4265;9448;9166;26768;11027
8111;1251;726;2177;2028;840
10446;3428;17263;14550;51638;20139
8795;13527;19981;11706;43930;20412
14823;16315;12527;8582;30177;13576
11756;1734;33011;18469;79432;29407
13916;5883;28692;16676;72215;29605
11877;14353;4642;5085;12840;4598
3649;7418;6928;6073;17672;7476
14912;4104;5499;5405;14337;5723
4821;5128;25680;17583;65506;25327
8004;7826;14602;13713;41566;48785
5013;12996;41427;12182;33012;12637
5132;8573;12853;11420;34574;13877
13988;6067;16306;13323;42704;15971
7863;11155;3379;5156;9430;4190
6445;3639;13704;11942;37958;15948
4974;12214;10664;8403;29610;10773
5287;14229;14776;10337;39333;16638
589;2418;15767;12987;42144;18588
8295;499;17637;16036;46235;16912
6486;2172;15496;11142;41580;17343
6238;9578;19141;16124;51880;21242
3055;10114;5931;5405;13513;5263
8124;812;4968;5222;12808;5298
1496;16127;18578;14629;47290;18628
3902;12118;30059;21385;82252;32038
