VERTEXES;EDGES;MAX_WEIGHT;
32761;130320;32761;

SOURCE;TARGET;DIJKSTRA;DIALS;RADIX;RADIX_2;
29723;4162;72144;54237;225713;82839;
29196;3467;138104;133070;433423;146277;
16066;23624;137407;95198;385030;141452;
269;1500;67895;63704;170604;51405;
29795;11778;60475;77054;100786;36125;
19714;5443;11619;16095;29044;10463;
29168;26668;51683;50988;149161;54694;
20332;343;78450;53322;186806;74747;
25964;1335;24461;27246;76799;30891;
28999;28459;18674;19063;52490;21930;
4210;16903;75511;49492;201373;74227;
23161;2919;14184;19529;34609;14065;
5328;18077;20027;17530;50513;22047;
11677;8479;5202;12059;14973;5222;
22692;15314;49518;39318;138140;51938;
4202;25259;21579;24288;57799;26972;
30001;32761;66062;38597;147857;60093;
1145;18422;35125;27543;86219;36147;
18387;19839;48098;34274;133472;44970;
27620;24756;9849;15562;28182;11252;
28525;24944;18692;18044;48560;19363;
4211;23192;41570;32655;116427;66418;
5994;5589;67215;47782;145520;55158;
25255;16409;24321;23036;64032;25311;
24859;32211;32616;27500;87735;39716;
7695;8528;24417;25027;63442;27216;
16219;2500;42135;41665;119070;43159;
20887;6854;15226;17915;46847;19244;
17587;27049;27171;31949;79589;30399;
29639;32622;63758;50024;165092;56462;
23506;3466;6752;11080;19326;7214;
27825;11763;27414;22127;72190;30269;
23749;28700;69098;49920;176465;76107;
7296;14832;8648;18376;20253;8309;
29818;8206;41370;38513;110334;48602;
9639;10254;3950;7976;10623;4085;
16003;15648;240;3246;651;295;
10023;25986;16742;16994;44119;20510;
10261;17141;61911;48020;186887;67014;
27970;12132;35471;26976;102200;42433;
15722;22304;1983;6751;5222;2247;
12887;7277;25897;19494;59353;23778;
9946;24422;64645;52223;170572;70940;
10571;28452;2378;5626;5741;2417;
1177;4834;12395;17899;33195;13418;
16587;998;34055;30091;99199;39676;
12968;4342;18280;21572;54089;22938;
12473;19152;67315;48459;158024;67810;
6107;20223;2378;6436;7094;2735;
16243;1623;28726;30388;69051;25384;
2991;32247;57020;46616;127552;52699;
7801;24231;70491;53143;183352;74204;
