VERTEXES;EDGES;MAX_WEIGHT;
32761;130320;32761;

SOURCE;DIJKSTRA;DIALS;RADIX;
29723;77460;17777904;205683;
4162;93458;16594642;199599;
29196;94949;16378573;189939;
3467;99745;16839783;248576;
16066;110735;18206468;206612;
23624;84194;16500328;193959;
269;95252;16479465;204340;
1500;87264;16475835;194469;
29795;84573;16415534;203098;
11778;91585;16441781;195870;
19714;99705;16363979;192283;
5443;98774;16924775;199228;
29168;85660;16515922;202278;
26668;98314;16371579;199346;
20332;88896;16806915;199286;
343;90402;16488266;190700;
25964;91758;16444297;192968;
1335;81776;16604660;196509;
28999;103259;16404477;193230;
28459;89035;16307121;201963;
4210;97413;16371847;202695;
16903;93657;16361071;186065;
23161;89107;16325965;214201;
2919;89120;16542337;208540;
5328;96853;16351549;218797;
18077;88131;16414647;186976;
11677;85495;16504483;180984;
8479;84417;16339262;194119;
22692;92309;17550169;207151;
15314;86453;16627160;188547;
4202;100381;16483344;182995;
25259;91503;16576391;196174;
30001;97024;16576318;199694;
32761;92037;16355697;195397;
1145;83495;16522496;192240;
18422;90622;16685050;207717;
18387;103880;16557976;194131;
19839;81672;16744810;185572;
27620;113844;16504403;192016;
24756;79166;19226188;210061;
28525;92546;16962976;204374;
24944;100597;16654795;203269;
4211;95375;16501502;195578;
23192;85195;16928958;206413;
5994;91581;16632087;191865;
5589;91381;16450207;193145;
25255;94923;16685396;194650;
16409;99384;16685440;192637;
24859;103039;16745850;205921;
32211;97306;16639387;202324;
7695;94263;16586502;200970;
8528;96473;16613835;195773;
16219;102615;16541900;201544;
2500;96447;16538745;195507;
20887;97872;16499919;192888;
6854;96418;16249884;196812;
17587;86863;16348001;199388;
27049;97749;16550049;209299;
29639;96161;16453379;188805;
32622;94084;16309697;192989;
23506;91907;16610250;208012;
3466;105173;16401645;198370;
27825;93286;16462957;182913;
11763;100391;16556266;206462;
23749;96839;17553806;193270;
28700;94195;16864881;200248;
7296;84097;16350073;198164;
14832;102548;16559246;178956;
29818;94005;16523162;182711;
8206;93787;16362903;199437;
9639;86574;16283907;199741;
10254;96942;16583697;193354;
16003;83674;16399062;197601;
15648;98176;16366752;196801;
10023;84770;16775781;242475;
25986;121216;18151819;202651;
10261;92027;16633440;197019;
17141;92076;16541649;214817;
27970;105526;16476615;189882;
12132;101823;16473513;201984;
15722;90068;16439648;198082;
22304;95337;16669531;208783;
12887;95238;16660579;205454;
7277;92917;16719147;191969;
9946;87975;16402279;181478;
24422;92353;16462712;213606;
10571;94989;16525253;225314;
28452;100663;16454089;203945;
1177;81459;16568823;202290;
4834;97925;16547079;199691;
16587;92783;16257273;188117;
998;91491;16285153;196538;
12968;98094;16406197;191680;
4342;84417;16278226;195770;
12473;87799;16273826;193939;
19152;101929;16327588;194223;
6107;85668;16297524;186855;
20223;85936;16370056;210712;
16243;94528;16147755;193023;
1623;101741;17235614;196785;
2991;89093;16507138;203805;
32247;83130;16419017;196137;
