VERTEXES;EDGES;MAX_WEIGHT;
131044;522728;131044;

SOURCE;DIJKSTRA;DIALS;RADIX;RADIX_2;
118889;608668;960325;1172970;346374;
16645;326686;433180;861319;339925;
116782;339571;687961;877508;310920;
13866;304539;467668;856974;316889;
64263;295167;486809;920624;380312;
94495;335018;391147;843220;341055;
1076;295596;460771;859464;312551;
5997;286760;460225;886420;309249;
119179;317240;393704;825180;338337;
47111;316846;361722;903922;390749;
78855;423914;375899;845211;328262;
21769;296724;427967;851919;322425;
116670;310768;443550;950159;307624;
106672;314032;448451;871428;328588;
81328;313412;420823;838011;314555;
1370;331412;518463;833836;307352;
103854;320613;403598;859142;324615;
5338;302969;474522;947461;359227;
115993;338557;437721;872432;340701;
113836;326627;372063;837484;320326;
16837;311385;413230;922787;323737;
67612;311586;385033;839744;320403;
92644;331833;356375;839552;357275;
11674;395225;426750;804813;345552;
21309;318707;407036;819906;311879;
72307;319839;338089;958243;342421;
46708;344329;440907;863544;309461;
33916;325349;436003;829761;340286;
90765;320723;506407;872009;340977;
61253;282702;456089;844113;315431;
16808;366042;343362;866953;512058;
101034;347442;393552;847243;345199;
120002;368589;544692;1033223;418144;
131041;439946;419175;889451;328645;
4579;291315;412763;846850;342964;
73685;331350;409731;922030;392130;
73547;313939;480641;844801;325881;
79353;300602;430500;806651;312366;
110479;313472;457635;884232;361735;
99023;325325;363721;846647;297981;
114099;311602;430247;841245;349272;
99775;449272;389490;832904;314166;
16841;327122;403983;828402;330016;
92768;301605;418245;1001120;328040;
23975;291164;462272;853319;330353;
22353;304662;437550;812912;342707;
101018;340807;501992;835727;318956;
65634;301384;408370;840434;339497;
99436;290865;414768;853640;384168;
128842;340912;382348;838718;320053;
30777;324920;315418;851820;334759;
34110;299697;378359;982051;327174;
