VERTEXES;EDGES;MAX_WEIGHT;
321270;800172;94305;

SOURCE;TARGET;DIJKSTRA;DIALS;RADIX;RADIX_2;
60881;2616;150229;90668;450869;216715;
182426;95760;1016890;308494;1345221;420669;
294620;210546;521694;204915;1105078;510080;
63218;239316;380068;164515;889993;355997;
36233;200884;250115;105689;528004;234493;
70721;50656;52893;25505;102795;49457;
279747;294095;241515;105455;497227;225239;
229205;36195;150334;71583;354558;149184;
216722;3932;193521;82751;472001;312614;
234642;38477;213849;68986;379302;166923;
37412;9939;49114;26629;115953;49267;
188369;308575;35115;25149;84970;34086;
129927;66371;255373;108409;542802;235171;
271447;112927;493114;173314;1021347;493374;
152132;57026;189670;118995;408079;178005;
5350;214419;302727;99839;600404;279227;
259423;304387;428958;173344;923532;400327;
240910;213421;5870;8597;16307;7768;
152393;115047;71132;34569;154969;64686;
305574;260610;405303;164560;1068618;402344;
159573;96148;348416;133921;728695;317836;
101129;205598;342639;129839;725588;318934;
66233;225952;210670;84204;467812;227782;
118234;253099;462462;199342;982694;447947;
62358;271634;48246;30681;123085;55484;
161824;109495;495498;204395;1087593;495367;
149184;114584;20004;15117;40870;18570;
299311;14696;222602;136625;482564;190097;
111153;52274;184778;101119;424626;189788;
271153;219513;235681;92835;494625;218919;
44677;267377;220984;90824;496961;229170;
279529;248143;491253;186241;1137311;456952;
217960;107289;467314;205938;1075958;492863;
179808;25011;180474;83444;399845;168460;
134523;94782;286076;114421;711156;374822;
272605;171910;448688;157645;878931;401521;
3168;189174;323666;144892;894145;416608;
111734;319813;91091;51556;242591;108467;
308830;179566;22135;28283;68554;23321;
220763;24323;124161;62447;311719;128649;
10356;246878;77870;52631;158470;72019;
258639;226690;35894;21716;76098;39151;
211233;232643;31225;20251;73353;35441;
920;59338;124150;61940;238351;108101;
184606;65792;300146;127586;579764;253864;
62998;177020;219025;90319;445990;237402;
318266;90509;520248;191478;1289393;424382;
77893;109278;21027;16742;33923;15076;
22678;249652;210127;82163;414676;193406;
191402;248135;133363;66910;293767;138510;
90941;65109;146218;66226;346031;141885;
38146;188472;85615;43743;198081;86792;
