VERTEXES;EDGES;MAX_WEIGHT;
1048576;4063200;65536;

SOURCE;TARGET;DIJKSTRA;DIALS;RADIX;RADIX_2;
951313;133183;1856053;16772639;5241133;2024925;
934455;110950;996738;6741986;3250424;1298498;
514213;756120;926205;6031943;2898194;1160585;
8609;47985;154852;979107;578576;237226;
953635;376966;302430;3106500;1013874;497229;
630970;174184;26366;168512;68738;25870;
933555;853556;1672808;16527043;5723871;2169909;
650757;10960;19533;119666;64969;26972;
831007;42710;1790585;16677694;5610437;2123831;
928139;910876;212887;1439787;744695;261062;
134718;541006;1569408;21874358;5489091;2166224;
741304;93407;1053207;7003439;3383920;1236794;
170508;578577;1023011;6690149;3264066;1288485;
373739;271383;1073114;7163840;3524742;1353141;
726274;490127;1816298;12293935;5762683;2658987;
134487;808440;415718;2723811;1262515;546154;
960214;1048550;914651;7607220;3099326;1173336;
36638;589606;1814432;13221305;5475541;2139088;
588500;634958;1821733;19305173;5646646;2164622;
884014;792346;624857;6476772;2079462;766016;
912982;798370;2040683;17814679;6223452;2360725;
134753;742302;380376;2546949;1209184;486914;
191838;178856;1663002;15170046;5339275;2123223;
808316;525179;2056046;12050507;6014577;2330928;
795658;1030951;1791168;25004179;5988492;2189992;
246267;272932;6889;28656;17284;7588;
519090;80008;718199;4841234;2285073;878185;
668519;219375;1897694;17359617;6105416;2218728;
562878;865723;1539702;9735513;4817785;1873787;
948636;1044106;2038283;12954335;6146695;2353753;
752322;110933;1466880;9286378;4655519;1738318;
890572;376485;298025;1918038;855688;349109;
760109;918584;1583668;16276942;5325451;2044813;
233514;474721;2043070;19320009;6201052;2388393;
954357;262621;1073680;14620955;3746482;1402350;
308492;328179;1654960;11481372;5081203;2002714;
512197;500817;791171;5274960;2539427;968547;
320781;831713;8995;42056;24090;10016;
328420;548627;977651;10624988;3405629;1291334;
895207;388288;409184;2724015;1330108;488103;
503211;713860;1961450;21459676;6059618;2351279;
412461;232896;671435;4711537;2294182;952202;
318321;781656;1964711;16110009;5911172;2266949;
338333;910653;1648862;16870424;5261828;1996535;
37670;154705;1269757;8541241;4045714;1610087;
530871;31916;1154296;7737246;3833310;1466960;
415043;138966;15463;79434;41618;17233;
399201;612981;20624;120644;62403;25671;
195457;647273;412862;2944654;1433465;541648;
519877;51945;275400;1887435;896564;357747;
95709;1032096;331640;1978749;1135636;430503;
249666;775531;293924;1845986;949632;360193;
