VERTEXES;EDGES;MAX_WEIGHT;
16384;63456;16384;

SOURCE;DIJKSTRA;DIALS;RADIX;RADIX_2;
14865;22256;122896;113074;45956;
2081;32135;111202;84440;31670;
14601;26120;82288;80527;32086;
1734;24764;74111;75556;31546;
8035;23335;70859;73380;29780;
11815;25410;95562;77156;26953;
135;23137;70336;85223;27011;
750;21951;53842;77577;30674;
14901;25681;67219;74165;31579;
5891;24267;64741;76221;32344;
9859;23446;88879;82047;28331;
2722;20971;85707;81538;33720;
14587;27711;59758;84155;33403;
13337;25550;81167;72188;27532;
10169;26840;82729;75817;30065;
172;23359;64555;80145;32514;
12985;24259;48611;73662;33892;
668;27282;70223;82539;32377;
14503;25210;63792;77190;30167;
14233;21498;86144;76258;31538;
2105;25593;76719;76017;26073;
8454;21595;73858;77610;32363;
11583;23813;68543;74170;30840;
1460;24678;80213;71416;32855;
2665;25423;91108;70128;31186;
9041;26494;92692;80406;31225;
5840;25388;67859;84002;29101;
4241;20085;75939;73294;26348;
11349;20746;83353;68718;28387;
7659;23034;71735;73542;30269;
2102;24759;80757;76508;32344;
12632;25730;76941;72210;29247;
15004;20292;74874;78218;29549;
16384;25954;70507;80321;33146;
573;23819;61335;76869;26974;
9213;23990;55550;73437;30661;
9196;25567;68205;75981;30833;
9922;21866;69432;74489;25628;
13813;21467;54243;71010;30617;
12381;20761;87461;77416;33894;
14266;24232;65145;72503;29856;
12475;23210;67446;78029;31335;
2106;24916;60896;70926;29949;
11599;22974;67376;76136;25590;
2998;20614;75953;77131;30374;
2795;25741;57257;81096;26731;
12630;20473;71929;81528;33733;
8206;24178;79435;75231;26192;
12433;22567;61493;71480;26401;
16109;20319;61787;77191;28776;
3848;23319;77748;71346;29421;
4265;22714;77300;72640;31084;
