VERTEXES;EDGES;MAX_WEIGHT;
262144;1015776;262144;

SOURCE;TARGET;DIJKSTRA;DIALS;RADIX;RADIX_2;
237829;33296;376757;7284417;976296;354312;
233614;27738;42283;1213547;224649;96429;
128554;189030;55825;2464292;194177;71462;
2153;11997;52674;1285255;163500;61566;
238409;94242;270063;12880507;1002494;368156;
157743;43546;84133;2440873;336334;132020;
233389;213389;280803;13603071;1070380;398873;
162690;2740;64856;1928126;250764;87890;
207752;10678;179220;4840303;681052;232669;
232035;227719;219051;5882247;805096;285159;
33680;135252;384005;10257916;1375188;471823;
185326;23352;265616;7228895;975797;328291;
42627;144645;414187;13246040;1514360;514906;
93435;67846;80403;2335483;302584;116430;
181569;122532;220477;6121406;885267;324338;
33622;202110;194280;4456232;589502;214041;
240054;262138;367190;20317204;1444805;531139;
9160;147402;264093;6730767;920617;315701;
147125;158740;200897;7441300;775110;280759;
221004;198087;276376;7233269;962614;359326;
228246;199593;264763;5635090;771628;278533;
33689;185576;279152;15688117;1090939;402845;
47960;44714;248996;6919621;956844;340005;
202079;131295;412414;17295352;1568342;561355;
198915;257738;274464;15216040;1069608;404149;
61567;68233;278241;8914707;1063424;406596;
129773;20002;133353;4876172;457635;162961;
167130;54844;433157;21819960;1694173;604262;
140720;216431;237903;12407240;1041081;365622;
237159;261027;229926;13803711;882736;312494;
188081;27734;148668;3962094;519801;184287;
222643;94122;290752;7403057;1024982;365140;
190028;229646;432179;21245793;1623643;602481;
58379;118681;322653;8456134;1162324;445004;
238590;65656;139402;4113076;538701;207497;
77123;82045;5925;133801;18397;7010;
128050;125205;401187;16186304;1491994;526572;
80196;207929;160953;6943521;659337;245730;
82105;137157;187662;9245167;678872;241351;
223802;97072;345406;9142668;1249209;444836;
125803;178465;206352;11787101;808809;302102;
103116;58224;305067;12412715;1120541;422308;
79581;195414;295809;7700819;1040283;374924;
84584;227664;112633;3415356;446169;161503;
9418;38677;329782;17440891;1244741;476204;
132718;7979;226901;9980962;905399;330928;
103761;34742;436101;14295516;1501119;530907;
99801;153246;181499;10450001;735456;262020;
48865;161819;51535;1546754;240670;78819;
129970;12987;154048;8312593;657725;225218;
23928;258024;180533;9209703;652189;218374;
62417;193883;341699;17265337;1306053;484821;
