VERTEXES;EDGES;MAX_WEIGHT;
65536;262144;65536;

SOURCE;DIJKSTRA;DIALS;RADIX;RADIX_2;
59458;306988;115511;424074;151067;
8324;190099;71022;384104;161794;
58404;198132;74418;391178;150329;
6935;199297;72203;380769;146803;
32139;204865;67378;400607;151246;
47258;205605;75481;387292;161577;
539;199731;68856;368449;169282;
3000;190027;65425;374222;153536;
59603;194398;70721;387798;154351;
23561;208958;68977;382070;162541;
39436;194216;72934;392533;158552;
10887;197925;73117;379420;143702;
58348;190906;69909;375419;153308;
53348;195365;72709;414849;159831;
40673;184600;67709;398957;149595;
685;199250;70896;370032;149776;
51938;183997;73642;375235;154025;
2670;202478;65740;394826;209049;
58009;190926;73219;387761;165890;
56930;185231;60379;401398;148533;
8420;188998;63560;383171;149853;
33813;204519;72399;385425;153749;
46332;204457;68439;385419;152463;
5838;212313;68889;391602;148944;
10657;191157;68314;395191;157561;
36162;204692;72089;385729;163036;
23359;190841;69066;385861;154660;
16962;192733;65559;370367;151887;
45393;192612;69189;379914;143388;
30633;205378;69428;372251;143826;
8406;195812;66128;379616;154084;
50528;198931;80088;389816;152173;
60014;186996;68905;398332;160969;
65535;194928;76336;373556;150721;
2290;194112;70724;378871;175803;
36851;290540;99339;408651;174143;
36782;332325;97065;654262;173676;
39685;242547;67278;529396;180206;
55251;209309;71805;407128;160237;
49522;202921;76056;438568;191927;
57062;246358;78934;440516;170698;
49899;204003;69596;437801;154300;
8423;197104;71077;387410;162547;
46394;223161;78386;551067;283266;
11990;384967;156162;502508;258136;
11179;292275;83543;587767;186030;
50520;212760;89899;423343;174747;
32824;213057;72839;415901;184582;
49729;207823;67479;415980;161772;
64435;205694;70303;400831;161338;
15392;193820;72765;397197;166865;
17059;203708;78685;377405;167061;
