VERTEXES;EDGES;MAX_WEIGHT;
262144;1048576;262143;

SOURCE;TARGET;DIJKSTRA;DIALS;RADIX;RADIX_2;
237829;33296;852214;353796;1269578;558847;
233614;27738;326041;206904;452402;195910;
128554;189030;996056;389371;1907403;788929;
2153;11997;1001736;371628;1946305;725176;
238409;94242;826348;431362;1669989;623343;
157743;43546;13027;35939;32181;13590;
233389;213389;539543;282882;1075085;475734;
162690;2740;385947;210933;636967;244810;
207752;10678;777982;349165;1511251;597608;
232035;227719;1000441;345773;1581047;700774;
33680;135252;728795;398962;1674149;586071;
185326;23352;1003063;451853;1795623;792412;
42627;144645;29122;61670;73314;25177;
93435;67846;1000581;387954;1856004;715663;
181569;122532;703390;359964;1309160;484691;
33622;202110;995863;366669;2044668;750935;
240054;262138;237517;175265;447286;200705;
9160;147402;778989;346874;1598243;664420;
147125;158740;932321;346014;1793169;685086;
221004;198087;816425;381542;1332288;511074;
228246;199593;14271;37997;30902;12206;
33689;185576;844187;363524;1815107;650112;
47960;44714;905476;380178;1811343;709259;
202079;131295;1025361;342089;1662006;622187;
198915;257738;431037;246222;874751;426159;
61567;68233;564517;281018;1066408;413532;
129773;20002;601000;311144;1229594;566255;
167130;54844;317725;197019;641135;254775;
140720;216431;460668;241525;962638;330566;
237159;261027;678122;313378;1593965;542312;
188081;27734;637013;293743;1251316;498109;
222643;94122;17364;36686;38561;15657;
190028;229646;19073;42219;51749;21425;
58379;118681;554108;318924;965160;392047;
238590;65656;241328;170214;521871;200617;
77123;82045;649531;295258;1451479;565278;
128050;125205;734518;312897;1333459;515285;
80196;207929;22929;40524;49381;20874;
82105;137157;50158;65396;97794;37724;
223802;97072;553284;331025;1232256;428352;
125803;178465;469491;256491;922160;349012;
103116;58224;87243;88840;197226;89030;
79581;195414;233505;163471;442565;225501;
84584;227664;1003500;366442;1684592;652748;
9418;38677;858386;384306;1979149;657060;
132718;7979;479563;250163;939607;363530;
103761;34742;371655;297793;749387;290815;
99801;153246;176465;144268;377768;140328;
48865;161819;2263;19620;5238;2134;
129970;12987;450857;269093;950975;363458;
23928;258024;1010556;502523;1903931;746262;
62417;193883;537659;268445;1165855;489699;
