VERTEXES;EDGES;MAX_WEIGHT;
65536;261120;65536;

SOURCE;TARGET;DIJKSTRA;DIALS;RADIX;RADIX_2;
59458;8324;167015;219728;824079;298496;
58404;6935;208302;359947;520162;115577;
32139;47258;160829;126661;332299;132085;
539;3000;23077;40999;77569;28472;
59603;23561;25834;41117;69029;31127;
39436;10887;18863;45052;47961;19326;
58348;53348;118312;113250;312609;105027;
40673;685;116335;119442;307827;152391;
51938;2670;74130;75172;200216;81813;
58009;56930;20292;32362;58756;25579;
8420;33813;133869;137351;353313;127757;
46332;5838;96522;86149;265759;100166;
10657;36162;123972;118037;300243;125598;
23359;16962;137976;153247;381769;141307;
45393;30633;74608;80734;191874;89354;
8406;50528;79741;71311;206450;85531;
60014;65535;16947;34974;45752;19738;
2290;36851;69526;69520;201385;83904;
36782;39685;23432;31186;63701;27855;
55251;49522;80408;82437;225483;85410;
57062;49899;24306;32161;66588;26652;
8423;46394;122825;121714;295890;107842;
11990;11179;133704;130206;347886;124506;
50520;32824;130946;118269;344071;131239;
49729;64435;99574;95371;275188;98339;
15392;17059;102985;98761;278993;115451;
32444;5001;11063;26527;36225;15819;
41783;13711;65826;79924;165959;59633;
35180;54108;26939;37624;73385;28129;
59290;65257;17750;33561;55045;22034;
47021;6934;44643;73757;108648;46536;
55661;23531;12999;26743;37900;16277;
47507;57412;90903;88297;239440;81864;
14595;29671;81301;94828;234493;99508;
59648;16414;125379;105182;320603;134791;
19281;20512;47563;53108;127854;46850;
32013;31302;97343;81783;281629;105432;
20049;51983;101729;90367;275377;121397;
20527;34290;109534;95434;265014;102347;
55951;24268;2637;13501;8019;3917;
31451;44617;891;7352;2491;1133;
25779;14556;19169;37088;48336;19840;
19896;48854;109722;104778;299868;117097;
21146;56916;16003;27016;47451;30848;
2355;9670;125547;114097;311177;121143;
33180;1995;120501;127186;365250;132078;
25941;8686;129694;142070;344081;133266;
24951;38312;46801;53159;109193;44940;
12217;40455;123005;146762;332240;136898;
32493;3247;114260;107782;275599;120148;
5982;64506;44966;62616;119980;51250;
15605;48471;77292;71814;211205;86941;
