VERTEXES;EDGES;MAX_WEIGHT;
262144;1046528;262144;

SOURCE;DIJKSTRA;DIALS;RADIX;RADIX_2;
237829;1569988;1587319;1990969;767740;
33296;686661;1199482;1817217;820630;
233614;687338;1274269;1812341;676115;
27738;759611;1242791;1725596;673637;
128554;653761;1302309;1764017;698707;
189030;647764;1298047;1776912;659961;
2153;662476;886981;1891177;677429;
11997;673398;932573;1891423;795354;
238409;655438;1242983;1743302;758156;
94242;688104;1125485;1765063;666711;
157743;713283;1111091;1770310;642045;
43546;624189;1337630;1814197;679628;
233389;634601;1348168;1833390;648835;
213389;651199;978069;1939633;690088;
162690;655370;928878;1904432;826722;
2740;657864;1044613;1809948;738463;
207752;728088;1123892;1808640;643774;
10678;710174;1258176;1773294;662032;
232035;673628;1052655;1784690;650953;
227719;646288;1046025;2003817;660707;
33680;659271;1047203;1883640;707146;
135252;637447;1288266;1815654;801140;
185326;655724;1154309;1767130;717927;
23352;752181;1138620;1761472;644636;
42627;635594;1302914;1805477;690177;
144645;613568;1359624;1754702;669728;
93435;621851;1029945;1790011;657577;
67846;654497;1013399;1894635;682504;
181569;638215;1140333;1783478;737521;
122532;661502;1152732;1763635;663223;
33622;677286;1234894;1821812;643336;
202110;631719;1414150;1777555;674311;
240054;651469;1183146;1880242;663377;
262138;649153;1223122;1929909;662624;
9160;656777;1169811;1865881;698338;
147402;634735;1164722;1794616;752310;
147125;620887;1152863;1743601;658279;
158740;908964;1504903;2539857;773923;
221004;820157;1177451;1813239;683835;
198087;755646;1036384;1833107;1274385;
228246;982418;1423182;2291672;861619;
199593;854834;1572139;2049496;1086742;
33689;1265378;1302751;1836114;812080;
185576;774935;988711;1841928;662762;
47960;754246;958976;1818070;666289;
44714;648435;1273004;1791279;674602;
202079;643363;1183843;1964608;657138;
131295;664840;1100108;1886669;708062;
198915;651615;1246906;1968592;711857;
257738;659868;968782;1708374;730840;
61567;698455;1161666;1734715;657818;
68233;665816;1087794;1800807;674905;
