VERTEXES;EDGES;MAX_WEIGHT;
321270;800172;94305;

SOURCE;DIJKSTRA;DIALS;RADIX;RADIX_2;
231273;823242;590592;1921759;529068;
291470;532522;218677;1183004;574920;
40806;752943;321681;1181784;512128;
286305;517524;227226;1124984;482296;
33994;543758;259297;1171244;503489;
157548;536115;204556;1102438;493806;
231666;490261;281926;1269889;516181;
2638;533691;212228;1102923;495858;
14702;532349;218844;1262629;522416;
292182;523457;222544;1101046;489692;
115498;514435;217214;1268630;528833;
193321;500660;225578;1109909;510502;
53368;522305;216492;1208373;504264;
286029;522729;228158;1125219;489539;
261519;493956;214576;1211931;558996;
199384;514051;200865;1105285;482203;
3358;541733;215962;1101935;565594;
254610;525253;217577;1102604;486009;
13086;509104;208246;1105185;602202;
284370;638103;223366;1121613;489872;
279081;536250;199999;1081974;532671;
41276;660105;212502;1132484;484884;
165758;507606;201273;1142668;516591;
227126;642713;236482;1141122;498443;
28619;534150;219049;1102148;486494;
52242;609835;230242;1139791;496736;
177269;513137;215592;1095289;502400;
114509;517195;251093;1271204;498965;
83148;515753;220908;1103249;470865;
222521;489489;228831;1244876;499807;
150169;516223;224119;1088055;496590;
41205;553270;198516;1296763;507168;
247696;494378;213084;1120506;497650;
294197;527511;231775;1253731;498435;
321262;538889;208006;1103656;489789;
11226;507726;209958;1183819;566823;
180648;544947;236692;1113879;492518;
180309;495494;221646;1104049;595028;
194543;525225;225353;1085156;498557;
270851;522846;197540;1107394;579514;
242765;604575;222067;1122402;520883;
279726;531868;207409;1109032;507117;
244610;586329;220657;1105109;490245;
41287;538965;213637;1096232;486482;
227432;545349;314169;1162664;476178;
58777;511214;199537;1096534;491648;
54799;521790;231610;1257949;503018;
247658;494503;226079;1128485;485723;
160908;542138;198507;1290285;497969;
243780;508687;216579;1092515;505247;
315870;513590;207901;1221822;505118;
75453;560098;202772;1073430;513477;
