VERTEXES;EDGES;MAX_WEIGHT;
1070376;2712798;214013;

SOURCE;TARGET;DIJKSTRA;DIALS;RADIX;RADIX_2;
530171;924698;2318336;805610;2495460;1106498;
589324;486404;1419967;685106;3006160;1320749;
691704;861470;102940;50111;212065;93015;
526448;489568;243018;108090;496852;246895;
19751;9238;10411;21117;22894;10313;
88208;1053112;1762021;666786;3587243;1553285;
932200;510398;36263;30939;90724;41894;
867060;915731;1819094;690627;3970245;1703393;
459671;799670;723637;299786;1504588;625307;
312214;394931;1559253;601371;3412200;1426144;
894918;237265;1431610;562306;2834188;1249111;
837268;664649;416772;159187;932447;448705;
595287;1048970;1482716;607753;3337622;1408423;
131714;251618;1830991;736587;3961401;1694404;
272046;217803;491018;221878;1194939;496257;
83910;875554;1233110;473784;2804156;1209985;
392050;535531;603953;269024;1342561;574578;
305998;894379;1347831;446534;2526800;1167500;
659313;926120;826715;310755;1388120;603430;
237506;290573;260753;124767;601455;259365;
832911;344217;292031;127053;639906;316656;
292137;767184;680834;267869;1377486;599054;
977868;72627;1659601;794538;3359840;1518459;
576183;414690;976383;483176;2198790;953816;
765367;48600;780861;275595;1821771;720483;
689249;869226;615932;235019;1283211;568261;
271529;682555;1119870;405694;2181955;979323;
111518;591938;104633;59778;225440;102994;
362453;901433;1000068;350882;1729864;816473;
602021;738234;220310;110597;497997;227340;
575315;946896;874847;353989;1783120;771356;
224559;974194;291850;141259;653425;283160;
112280;312305;1261504;449550;2420428;1061106;
444471;884042;1499478;508662;2883885;1471319;
181556;901927;710317;262663;1740278;754340;
956949;628529;1735496;588052;3297736;1633894;
428683;305485;1065389;382696;2120536;1042419;
899887;490993;1522719;523775;3148244;1344002;
482241;1020016;1357194;475316;2873383;1212549;
331968;850839;186745;84964;395287;166535;
40025;454444;1379864;692098;2964093;1439400;
691062;842106;106459;65119;243442;103279;
969723;709496;1111694;468033;2192940;974216;
39622;582572;1657330;908939;3568730;1588060;
868206;931667;1173925;512141;2398433;1039732;
963050;24357;766952;276372;1729006;708786;
333386;1009604;807500;319690;1692128;834747;
1031528;138312;1275470;543683;2857229;1257166;
706963;421721;159193;91826;368068;155770;
1030961;90592;1759721;679980;3608974;1509168;
622389;46351;479844;220342;1360773;497948;
46747;996082;320749;144129;700559;321934;
