VERTEXES;EDGES;MAX_WEIGHT;
264346;733846;92366;

SOURCE;DIJKSTRA;DIALS;RADIX;RADIX_2;
190295;693808;226648;1092999;465280;
239826;528776;193064;1008721;482628;
33576;499284;192238;1276540;475938;
235576;495956;179081;1009658;452973;
27971;517246;173588;1085706;493306;
129633;488865;183172;1016484;470199;
190618;501049;178156;1013432;485919;
2171;609485;197812;1019421;460805;
12097;484203;183642;1015123;447652;
240412;498239;203121;1156599;462788;
95033;496180;181963;1005592;449969;
159068;467929;185145;1147596;457492;
43912;519470;199934;1021975;467652;
235349;485723;175521;987483;521001;
215182;511561;185994;1031337;455118;
164056;504632;182564;1012838;456842;
2763;492008;327606;1049304;457281;
209497;501457;178013;1007852;459288;
10767;499239;193530;1093919;445547;
233984;475053;185452;1015950;453069;
229632;489664;177113;1030403;572448;
33963;625016;198048;1029397;468346;
136388;571465;177855;1001796;463660;
186883;570832;204087;1085525;450589;
23548;509780;179035;1005610;442032;
42985;503468;200099;1155812;456698;
145860;498465;195734;1030671;440221;
94220;486617;184609;1085642;462424;
68416;490619;190367;1025019;444442;
183094;485661;189308;1009302;542348;
123561;559069;192950;999993;450312;
33905;500930;184682;1023827;431864;
203808;523037;234425;1048684;458768;
242070;488631;187692;1016886;455801;
264340;481882;178539;1230527;469782;
9237;498001;180711;1032842;446419;
148640;482100;197511;1037034;539372;
148361;495555;184715;998916;464158;
160073;463702;190270;995893;436627;
222860;611681;232427;1025916;480655;
199751;494569;184099;999009;446362;
230163;485184;178992;1120420;459178;
201269;477922;174653;999274;451736;
33972;483270;169229;1050075;582047;
187135;516126;187293;1008705;461897;
48363;492535;172683;988475;472935;
45090;590334;176984;1054591;447177;
203777;544039;231933;1307297;655068;
132398;736351;201735;1052470;459122;
200586;494441;188061;1030931;464525;
259903;513026;217761;1121226;467697;
62084;485114;196044;1000085;464505;
