VERTEXES;EDGES;MAX_WEIGHT;
321270;800172;235763;

SOURCE;DIJKSTRA;DIALS;RADIX;RADIX_2;
231273;661358;543986;1920099;474610;
291470;516348;215585;1068645;447117;
40806;508834;228721;1117211;494296;
286305;479612;242608;1061145;468738;
33994;483364;222705;1032373;553159;
157548;540142;236191;1063746;449364;
231666;473802;210261;1023893;450097;
2638;545991;276859;1062696;454226;
14702;461155;218717;1035539;438205;
292182;473733;211363;1156596;448726;
115498;476876;212346;1032351;456501;
193321;464323;215946;1101145;494457;
53368;492226;209436;1049612;472891;
286029;465607;219874;1022136;541008;
261519;520464;228854;1061470;449549;
199384;482782;214148;1023956;470504;
3358;540627;240080;1095606;453834;
254610;483233;203133;1022759;450360;
13086;498107;213913;1139116;464598;
284370;498633;221297;1021492;458160;
279081;490672;201223;1086928;484027;
41276;492485;208381;1031007;465354;
165758;492116;211467;1064851;505719;
227126;552579;224554;1046445;469933;
28619;485302;221220;1055335;441093;
52242;578395;229385;1076955;463805;
177269;510276;233541;1065587;465294;
114509;471773;218676;1151493;460112;
83148;484863;236283;1030683;462824;
222521;453898;226210;1089358;495258;
150169;509415;224315;1038849;445883;
41205;490533;229002;1053655;568662;
247696;511115;227817;1072320;452540;
294197;495571;217165;1079310;539967;
321262;568647;225315;1082920;460351;
11226;515971;210520;1061275;482379;
180648;507874;299612;1158748;485336;
180309;489177;214859;1060379;480506;
194543;472080;221933;1148768;478104;
270851;510462;205609;1069471;477857;
242765;496131;232363;1165499;486534;
279726;526783;220718;1049440;465127;
244610;493448;218532;1108010;540480;
41287;519380;208744;1107230;483077;
227432;473027;235974;1052396;485244;
58777;628848;212800;1082227;475202;
54799;502989;217841;1077634;485703;
247658;520343;257474;1099524;465781;
160908;498329;225046;1096840;489243;
243780;478426;222950;1262988;475228;
315870;512727;224533;1070580;475644;
75453;507099;208791;1146804;491501;
