VERTEXES;EDGES;MAX_WEIGHT;
1070376;2712798;535032;

SOURCE;TARGET;DIJKSTRA;DIALS;RADIX;RADIX_2;
622465;809619;1028572;711693;2013830;699359;
476777;21114;248430;138575;557189;243110;
640555;705909;517107;245775;1312680;616175;
305051;522141;315556;149610;653104;291769;
64355;538514;761136;281980;1587738;682878;
1010742;525833;320361;143451;711858;294375;
829573;277602;1373317;506113;2894737;1262983;
412861;511818;705675;269985;1504245;641400;
987362;2452;741102;272882;1514082;666458;
144940;363596;384692;163352;713743;298672;
735383;598854;196815;96645;428323;190886;
132545;561917;708698;278078;1459022;717726;
940498;136946;66435;61981;158319;64490;
360882;7358;675701;274834;1406049;622444;
1055081;717558;1306779;601699;2749963;1238693;
176671;657111;1388388;512611;2718751;1318842;
350442;71684;798516;300192;1571410;698612;
651768;649053;7302;27007;18602;8643;
1058750;476228;64491;66374;149273;64111;
736716;49845;469046;232543;1129431;461323;
303620;450569;64389;56142;142959;63854;
79737;855564;534157;231035;1139154;485059;
425235;819947;612368;257552;1339025;553316;
550447;906733;1520855;596416;3222591;1433813;
321470;103869;893058;342808;1905976;809838;
278673;909365;294391;153403;629166;298062;
693059;1062411;1306971;513588;2616430;1164443;
1053264;533190;467682;293538;1100242;433938;
341306;601736;1414055;529065;2914795;1229575;
467905;623187;1537391;606877;3336133;1418862;
92772;134700;403627;194875;926393;423375;
108351;856477;707729;303121;1510834;682381;
98885;756955;174611;93938;360654;161807;
849710;126206;1572133;585766;2952131;1389394;
987184;480156;1334254;494019;2801605;1204720;
531868;1005557;555131;223313;1123163;501963;
1005239;558771;823973;374577;1688200;746484;
824993;1003363;569054;233964;1219996;620388;
649703;381813;1120588;502416;2405541;1117224;
1043313;181526;1552378;574590;3294717;1425481;
111819;19571;1199564;483210;2679987;1148887;
33193;44329;346401;192489;777444;353710;
974358;916571;1296291;459819;2438043;1136440;
804979;926550;209204;106289;506376;216636;
1002001;376621;1555927;602523;3347687;1384090;
385225;765403;719025;282407;1471335;730370;
465901;781199;840187;335538;1718575;743686;
25864;98926;1553607;545851;2984624;1448685;
440170;959850;927875;347173;1880268;819295;
264251;727650;1313227;449364;2410368;1069293;
802535;737690;1276489;446145;2457458;1083816;
158555;261904;1787389;636327;3554125;1528099;
