VERTEXES;EDGES;MAX_WEIGHT;
1207945;2840208;265941;

SOURCE;DIJKSTRA;DIALS;RADIX;RADIX_2;
869564;4185106;1059110;4861929;2049703;
1095900;2340928;989410;5040517;2088876;
153425;2537389;1014116;4762437;2040843;
1076479;2285192;1034478;4749083;2050300;
127812;2609363;974936;4726908;2072151;
592366;2298446;1029418;4806852;2199764;
871040;2519511;987014;4802473;2058379;
9917;2413636;1022026;4876981;2104783;
55278;2554465;986821;4808330;2084871;
1098575;2432777;1005892;4808407;2079153;
434259;2543361;1041804;4847298;2087133;
726869;2519670;992926;4758901;2095613;
200658;2552839;960113;4867575;2107339;
1075442;2607839;958647;4764288;2104841;
983284;2469769;979618;4819184;2110435;
749662;2462935;995777;4844086;2079361;
12625;2555735;997834;4852018;2146467;
957309;2506623;998160;4789343;2083900;
49201;2490126;1037386;4832309;2171000;
1069204;2513660;977496;4837534;2107076;
1049316;2565332;993071;4813550;2110659;
155193;2480667;988659;4850662;2230675;
623231;2611956;1012112;4879603;2147539;
853972;2481397;1028328;4815416;2088305;
107603;2553630;975123;4850882;2353986;
196422;3065218;968593;4879147;2135170;
666512;2483676;998189;4842986;2099542;
430542;2496861;1007871;4864787;2088338;
312629;2474137;1035202;4799607;2098945;
836658;2453511;1038941;4766943;2082815;
564619;2520019;985042;4798844;2104101;
154927;2517897;992088;4901782;2087289;
931312;2446038;978387;4768621;2089337;
1106153;2478407;1007876;4779663;2064969;
1207915;2582983;988213;4917001;2133854;
42206;2551548;995012;4856841;2061391;
679218;2486237;1042628;4777120;2067163;
677943;2482388;1008303;4771470;2060285;
731463;2458182;979353;4809500;2119286;
1018372;2463366;995445;6300076;2796538;
912771;2557342;1053865;5079050;2172596;
1051742;2483740;1046366;4867246;2071717;
919711;2516252;1025364;4808890;2090636;
155234;2428806;972950;4824750;2090044;
855122;2513119;1022778;4816453;2080601;
220995;2412045;1032735;4809759;2061556;
206039;2564704;971429;4906047;2112285;
931168;2409838;1070768;4809137;2123506;
604999;2607560;993545;4829276;2101048;
916587;2385744;999682;4795644;2076573;
1187641;2493197;1014937;6540736;2190010;
283696;2406042;1041651;4852082;2135753;
