SIZE: 32
0 1 8
0 2 11
0 4 23
0 8 21
0 16 12
1 3 11
1 5 11
1 9 9
1 17 4
2 3 10
2 6 2
2 10 16
2 18 4
3 7 1
3 11 1
3 19 8
4 5 16
4 6 14
4 12 13
4 20 15
5 7 2
5 13 4
5 21 1
6 7 6
6 14 8
6 22 7
7 15 10
7 23 16
8 9 16
8 10 8
8 12 13
8 24 6
9 11 6
9 13 6
9 25 8
10 11 4
10 14 3
10 26 8
11 15 15
11 27 5
12 13 7
12 14 7
12 28 5
13 15 12
13 29 8
14 15 9
14 30 8
15 31 10
16 17 8
16 18 1
16 20 15
16 24 10
17 19 5
17 21 3
17 25 6
18 19 8
18 22 2
18 26 3
19 23 8
19 27 12
20 21 8
20 22 3
20 28 7
21 23 9
21 29 13
22 23 11
22 30 10
23 31 4
24 25 6
24 26 4
24 28 3
25 27 13
25 29 4
26 27 2
26 30 2
27 31 25
28 29 5
28 30 16
29 31 12
30 31 10
